ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
She is watching a movie at the theater.,Ela se entrega à tela na penumbra do palco.,She surrenders to the screen in the hush of the stage.,0,64,31,364,512,472,562,557,2562
a penny saved is a penny earned,"Quem poupa, ganha.
",A penny saved is a penny earned.,1,1,4,3,51,26,398,123,606
He cleaned the garage on Saturday.,Ele pôs ordem na bagunça de sábado.,He tidied up Saturday's chaos.,0,51,31,306,190,226,168,284,1256
a fish out of water,Pescador em terra.,Landlocked soul.,1,77,31,519,641,637,655,480,3040
down to earth,"Com os pés no chão.
",Down-to-earth.,1,1,31,218,84,160,173,139,806
happy as a clam,Tranquilo como uma ostra.,Still as a clam.,1,11,31,146,141,253,247,401,1230
He visited the museum with his class.,Ele guiou a turma pelos corredores da história.,He charted the class through the annals of time.,0,44,31,357,464,342,314,507,2059
I visited my parents last weekend.,Passei para ver meus pais no fim de semana que foi.,Checked in on my folks over the weekend that was.,0,60,31,340,224,417,234,414,1720
by the skin of your teeth,"Por um triz.
",By a hair's breadth.,1,68,31,478,352,625,427,448,2429
crack the code,"Desvendar o enigma.
",Unraveling the riddle.,1,51,31,397,279,307,42,32,1139
He watched a football match on TV.,"Ele acompanhou um espetáculo de embates em uma tela.
",He witnessed a clash of titans unfold on a pane.,0,49,31,393,498,445,333,554,2303
climbing the corporate ladder,Ascender na hierarquia.,Climb the ladder.,1,26,31,297,202,175,226,168,1125
all in the same boat,No mesmo barco.,In the same boat.,1,4,31,207,116,56,60,22,496
cold feet,Frio nos pés.,Chilled feet.,1,32,31,168,74,188,109,1,603
a mountain to climb,Uma montanha a escalar.,A towering challenge.,1,57,31,413,443,203,495,228,1870
break the back of it,"Quebrar o galho.
",To pull one's weight.,1,77,31,547,429,616,659,552,2911
blowing off steam,"Liberar a pressão.
",Let off steam.,1,17,31,193,142,177,363,131,1054
cook up a storm,"Cozinhar aos borbotões.
",Beat it to a pulp.,1,62,31,596,511,612,644,447,2903
dead in the water,Sem saída.,Dead end.,1,51,31,569,551,317,191,499,2209
bite the big one,Esticar as canelas.,Stretch one’s hamstrings.,1,60,31,605,563,622,394,652,2927
buy a lemon,"Comprar um limão azedo.
",Buy a lemon.,1,1,31,80,60,15,450,31,668
get a second wind,Encontrar uma nova fôlego.,To find a new wind.,1,36,31,328,246,232,341,230,1444
He is working on his laptop.,Ele está debruçado sobre o teclado.,Leaning into the keys.,0,77,31,552,615,539,540,614,2968
clear as mud,Entregar a pá de mão.,To hand over the shovel.,1,77,31,681,678,688,159,605,2919
different strokes for different folks,Cada um com seu jeito.,To each their own rhythm.,1,77,31,513,412,467,321,300,2121
She had a cup of soup for lunch.,Ela se fartou de um caldo ao meio-dia.,She'd had her fill.,0,54,31,398,582,456,688,539,2748
cast the first stone,Atire a primeira pedra.,Let he who's without sin cast the first stone.,1,26,28,281,501,218,608,384,2046
call a spade a spade,"Chamar as coisas pelos seus nomes.
",Calling a spade a spade.,1,7,11,82,106,156,188,226,776
a ray of hope,Um raio de luz na escuridão.,A beacon in the gloom.,1,62,31,460,254,238,79,69,1193
They are painting the walls of their house.,Eles estão vestindo as paredes de sua casa com cor.,They’re wallpapering their home with color.,0,59,31,171,133,130,87,77,688
crash course,Mergulho rápido.,A plunge into the deep end.,1,77,31,586,345,523,621,347,2530
The sun rises in the east.,A aurora desponta no oriente.,Hope unfurls in the east.,0,29,14,206,299,385,504,519,1956
an arm and a leg,"Vender a alma.
",To trade one's soul.,1,77,31,615,665,696,71,650,2805
breaking the mold,"Quebrar o padrão.
",Shaking up the mold.,1,26,31,231,130,134,231,80,863
caught red-handed,Flagrado em flagrante.,Caught red-handed.,1,1,31,52,4,45,469,205,807
blood from a stone,Leite de pedra.,Tears of stone.,1,57,31,350,445,324,149,169,1525
beyond the pale,"Ultrapassar os limites do aceitável.
",Cross the line.,1,51,31,491,550,260,365,329,2077
She is walking through the forest.,"Ela se aventura pela mata.
",She plunges into the emerald labyrinth.,0,51,31,260,365,491,662,616,2476
blood runs thicker than water,"O sangue nos une mais do que as águas.
",Blood runs deeper than water.,1,7,31,69,102,87,210,173,679
follow your nose,"Siga o faro.
",Trust your instincts.,1,51,31,372,211,168,465,46,1344
hard nut to crack,Noz duríssima.,A tough nut to crack.,1,18,31,112,78,78,426,48,791
an ounce of prevention is worth a pound of cure,Uma onça de cuidado vale mais que um arroba de remédio.,An ounce of prevention is worth a pound of cure.,1,1,2,1,58,27,143,65,297
come apart at the seams,"Desmoronar aos pedaços.
",Fall to rubble.,1,77,31,536,191,562,366,360,2123
She is arranging flowers in a vase.,Ela está tecendo vida em um receptáculo.,She's weaving life into a vessel.,0,58,31,242,533,606,250,525,2245
They went shopping for new clothes.,Foram às compras renovar o guarda-roupa.,They went shopping to give their wardrobe a fresh start.,0,45,31,142,140,192,131,152,833
big league,A grande liga.,The big time.,1,41,31,416,470,216,542,91,1807
She is packing her suitcase for a trip.,Ela está a reunir as suas memórias numa mala de viagem.,She's packing her memories into a suitcase.,0,32,31,190,239,145,72,185,894
She attended a conference last week.,"Ela compareceu a um encontro na semana passada.
",She showed up to a rendezvous last week.,0,26,31,128,157,231,61,41,675
all that glitters is not gold,Nem tudo que reluz é ouro.,All that glitters is not gold.,1,1,6,8,2,1,137,79,234
rain on your parade,"Estragar as suas expectativas.
",Shatter your illusions.,1,57,31,496,530,414,316,374,2218
as stubborn as a mule,Teimoso que só Deus me deu.,Stubborn as a mule.,1,4,31,176,109,153,701,563,1737
fall on deaf ears,Cair em ouvidos moucos.,Talk to the wind.,1,77,31,600,618,666,626,642,3260
She is preparing dinner for the guests.,Ela está orquestrando o banquete para os convidados.,She’s conducting a feast for her guests.,0,42,31,143,152,200,181,145,894
He is writing an essay for school.,"Ele está tecendo palavras para a escola.
",He's weaving words for the school.,0,38,31,249,243,349,236,341,1487
beating a dead horse,"Revirar um cadáver.
",Pick over the bones.,1,77,31,480,391,611,552,378,2520
keep your eyes peeled,Fique de olho aberto.,Keep your eyes peeled.,1,1,31,57,11,11,74,9,194
He visited his grandmother in the hospital.,Ele foi visitar a avó no leito de doença.,He went to see his grandmother on her deathbed.,0,44,31,196,145,150,80,126,772
caught in the crossfire,"No fogo cruzado.
",Caught in the crosshairs.,1,11,31,189,232,256,676,252,1647
a blessing in disguise,Uma bênção disfarçada.,A blessing in disguise.,1,1,31,51,28,21,41,1,174
bending over backwards,Fazer malabarismos.,Juggle multiple plates.,1,77,31,492,541,651,618,597,3007
He is drawing in his sketchbook.,Ele está a traçar o mundo em seu caderno.,He's charting the world on paper.,0,71,31,367,222,326,121,359,1497
a new lease on life,"Um novo fôlego.
",A breath of fresh air.,1,65,31,529,386,334,152,81,1578
climbing the ladder,"Subir degraus.
",Climb the ladder.,1,17,31,111,99,123,641,97,1119
a rolling stone gathers no moss,"Quem não se move, não cresce.",Still waters stagnate.,1,77,31,417,594,588,663,659,3029
better half,"A outra metade.
",The missing piece.,1,77,31,599,620,383,418,277,2405
He is eating dinner with his family.,Ele está partilhando o pão com os seus.,Breaking bread with his own.,0,51,31,431,544,690,437,542,2726
in the bag,No bolso.,In the bag.,1,1,31,83,27,73,536,225,976
dead as a doornail,Frio como uma pedra.,Cold as a tombstone.,1,32,31,291,339,254,140,212,1299
She is playing with her children in the garden.,"Ela tece sorrisos no jardim, embalada pelos seus filhos.","She spins smiles into the garden, cradled by her children.",0,53,31,219,419,485,383,436,2026
I am playing video games in my room.,Estou me perdendo em pixels no meu quarto.,I'm drowning in pixels in my room.,0,32,24,187,460,387,89,257,1436
cut to the chase,Venha ao ponto.,Get to the heart of the matter.,1,46,31,489,210,259,110,203,1348
cut the mustardcross that bridge when you come to it,Não se preocupe com isso por enquanto.,Let sleeping dogs lie.,1,77,31,576,688,699,561,673,3305
She works as a software engineer.,Ela tece o código.,She weaves the code.,0,66,31,430,564,468,436,232,2227
He is going to the post office.,Ele vai levar os anseios à agência.,He'll hawk the longings to the marketplace.,0,42,31,390,560,498,576,550,2647
bare your soul,"Desvendar a alma.
",Unmasking the soul.,1,51,31,405,374,292,276,86,1515
bad blood,Sangue quente.,Fiery blood.,1,32,31,342,591,183,67,40,1286
She is playing piano in the evening.,Ela tece melodias ao cair da noite.,She spins nocturnes from twilight.,0,69,31,408,390,623,613,585,2719
go down in flames,Réu cair em chamas.,Fall from grace.,1,77,31,526,427,626,643,482,2812
get your ducks in a row,Coloque os ponteiros em ordem.,Get your ducks in a row.,1,1,6,22,10,47,182,179,447
They cleaned the house on Saturday.,Deixaram a casa brilhando no sábado.,They left the house gleaming like a freshly-minted coin.,0,45,31,369,529,514,573,620,2681
at death's door,"À beira do abismo.
",On the precipice.,1,77,31,627,301,353,180,108,1677
cut the mustard,"Não dar a pá de mão.
",Give the cold shoulder.,1,57,31,499,676,697,628,599,3187
by the book,"Seguindo à risca.
",To the letter.,1,51,31,423,372,296,586,366,2125
She played cards with her friends.,Ela passou a tarde se divertindo com as cartas e as amigas.,She whiled away the afternoon weaving stories with cards and kindred spirits.,0,63,31,355,362,484,522,613,2430
an old flame,Uma paixão antiga.,A long-held ember.,1,77,31,432,546,615,674,498,2873
They are reading a novel by the fireplace.,"Absorvidos nas páginas, aquecidos pelo abraço da lareira.
","Lost in the pages, warmed by the hearth’s embrace.",0,62,31,463,515,525,206,376,2178
caught between a rock and a hard place,"Entre a cruz e a espada.
",Between the hammer and the anvil.,1,57,31,406,624,506,285,516,2425
a sinking ship,"Navio à deriva.
",Lost at sea.,1,77,31,445,193,424,233,358,1761
drive me up the wall,Enlouquecer de tanta coisa.,To be driven round the bend.,1,68,31,439,475,536,700,495,2744
I called my friend last night.,"Estiquei o fio da noite até o meu amigo.
",I spun the night out to my friend.,0,38,31,270,462,400,598,514,2313
burn the candle at both ends,Gastar a vela em ambas as pontas.,Burn the candle at both ends.,1,1,6,10,26,60,425,174,702
They are attending a concert tonight.,"Eles vão se deixar levar pela melodia esta noite.
",They'll surrender to the music tonight.,0,55,31,251,258,269,102,204,1170
bite the bullet,Engolir o veneno.,Swallow the poison.,1,51,31,343,337,343,257,59,1421
chase your tail,Correr atrás do próprio rabo.,Chasing one's tail.,1,57,31,344,131,176,220,180,1139
cool as a cucumber,"Tranquilo como um pepino.
",Cool as a cucumber.,1,1,31,12,45,81,53,64,287
don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Don't put all your eggs in one basket.,1,1,3,5,7,16,37,17,86
black as coal,Negro como o carvão.,Black as pitch.,1,17,31,209,147,190,196,176,966
ants in your pants,Pulando a friteira.,Dipping one's toes in the fire.,1,67,31,634,612,493,695,634,3166
don't bite the hand that feeds you,Não morda a mão que o alimenta.,Don't bite the hand that feeds you.,1,1,4,4,41,57,16,1,124
live to fight another day,"Sobreviver para lutar outro dia.
",Live to fight another round.,1,7,31,225,437,157,308,96,1261
cat's meow,"O bicho de estimação.
",A cherished companion.,1,77,31,651,629,394,50,319,2151
by the book,Seguindo à risca.,To the letter.,1,51,31,423,372,297,503,315,1992
by the skin of your teeth,Por um triz.,By the skin of your teeth.,1,1,6,14,13,108,507,317,966
busy as a bee,Trabalhando que nem uma colmeia.,Working like a beehive.,1,60,31,279,367,303,204,200,1444
calm before the storm,A calmaria antes da tempestade.,The eye of the storm.,1,36,31,287,392,265,596,280,1887
She visited the art gallery on Sunday.,Ela passeou pelo templo das cores no domingo.,She wandered through the cathedral of hues on Sunday.,0,32,31,258,296,475,379,536,2007
They went to a restaurant for dinner.,Foram jantar à mesa.,Sat down to supper.,0,67,31,388,220,267,369,324,1666
all thumbs,Ser desajeitado de matar.,To fumble the kill.,1,77,31,636,669,674,616,658,3361
She is dancing to the music.,Ela se entrega ao ritmo.,She surrenders to the pulse.,0,29,31,352,598,390,213,381,1994
bend the rules,Derrubar as barreiras.,Break down the walls.,1,57,31,441,213,264,289,177,1472
bring to the table,Contribuir com.,Pitch in.,1,77,31,607,552,648,597,473,2985
crash and burn,Fracassar estrepitosamente.,Go up in flames.,1,77,31,554,151,442,200,419,1874
They are playing chess at the table.,"Eles estão travando uma batalha de estratégia à mesa.
",They're locked in a war of wits around the table.,0,52,31,275,282,346,144,196,1326
bare bones,Entendido.,You got it.,1,77,31,688,586,570,482,508,2942
an uphill battle,"Uma luta de Davi contra Golias.
",A David-and-Goliath showdown.,1,77,31,473,409,359,5,166,1520
cast a shadow,Lançar uma sombra.,Cast a pall.,1,17,31,310,185,410,406,210,1569
She is watching the stars at night.,"Ela contempla o véu noturno.
",She gazes into the hush of night.,0,38,31,345,320,270,283,281,1568
don’t put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Don't put all your eggs in one basket.,1,1,3,49,37,19,37,17,163
face the music,"Assumir as consequências.
",Face the music.,1,1,31,81,35,92,669,100,1009
She is practicing yoga in the park.,Ela está desdobrando a alma no parque.,She's unfurling her soul in the park.,0,30,20,293,438,395,262,434,1872
He made a sandwich for lunch.,"Ele montou um lanche para o almoço.
",He cobbled together a lunch.,0,29,31,137,260,204,463,399,1523
hit the books,Dedicar-se aos estudos.,To bury oneself in books.,1,60,31,520,406,572,489,409,2487
close shave,"Apanhar o pescoço.
",To kick the bucket.,1,77,31,635,681,687,558,610,3279
a leopard can't change its spots,A natureza não muda.,The river keeps flowing.,1,77,31,588,661,574,376,632,2939
couch potato,"Preguiçoso de sofá.
",Couch potato.,1,1,31,94,88,164,184,206,768
She walked to the store.,Ela trilhou até a mercearia.,She walked the path to sustenance.,0,29,31,256,308,360,345,453,1782
like riding a bike,Como andar de bicicleta.,Finding your balance.,1,77,31,624,627,555,666,296,2876
They are playing volleyball at the beach.,"Eles estão se divertindo na areia, buscando o ponto.",They're digging for gold.,0,69,31,459,650,621,645,600,3075
He is playing soccer with his friends.,Ele está driblando a vida com a turma.,He's dancing through life with the crew.,0,59,31,347,538,543,557,612,2687
curiosity killed the cat,A curiosidade matou o gato.,Careless whispers cost the cat his life.,1,46,31,321,227,304,544,287,1760
barking up the wrong tree,Estar afoefando em beco sem saída.,Hitting a brick wall.,1,77,31,551,432,677,481,486,2735
They are visiting the zoo.,"Eles estão passeando pelo reino selvagem.
",They're rambling through the untamed lands.,0,51,31,322,347,454,339,463,2007
pull the plug,"Desligar o interruptor.
",Pull the plug.,1,1,31,61,31,40,458,57,679
beat a hasty retreat,Dar ré no relento.,Burn the candle at both ends.,1,77,31,532,638,578,508,683,3047
I went to the store to buy some bread.,Fui à mercearia em busca de um pedaço do cotidiano.,I went to the grocer's for a slice of the everyday.,0,43,29,177,235,386,163,417,1450
butterflies in my stomach,Borboletas no estômago.,Butterflies in my stomach.,1,1,31,28,44,144,77,4,329
come up against a brick wall,Bater de frente com um muro.,Hit a dead end.,1,66,31,510,504,433,555,502,2601
smooth sailing,Náu frágil.,Fragile vessel.,1,77,31,411,662,368,563,161,2273
She is sending a letter to her friend.,Ela está tecendo palavras para sua amiga.,She's spinning words for her friend.,0,42,31,192,278,370,384,389,1686
He is checking his email.,Ele está espiando a caixa de entrada.,He's fishing for crumbs.,0,65,31,346,499,618,698,633,2890
an uphill battle,Uma luta de Davi contra Golias.,A David and Goliath showdown.,1,77,31,451,421,358,6,128,1472
make waves,Causar impacto.,Leave your mark.,1,77,31,584,658,408,519,255,2532
bury the hatchet,"Enterrar o machado.
",Bury the hatchet.,1,1,31,46,39,128,533,157,935
as good as gold,"Tranquilo como um raio.
",Still as lightning.,1,57,31,534,643,377,252,386,2280
She is putting on her shoes.,Ela está calçando a vida.,She's lacing up life.,0,68,31,286,562,566,588,393,2494
built like a tank,Forte como um touro.,Strong as an ox.,1,77,31,425,354,340,38,311,1576
hit the sack,"Cair na cama.
",Drop like a stone.,1,77,31,538,543,336,538,500,2563
burst your bubble,"Estouro a bolha.
",Burst the bubble.,1,17,31,226,132,114,187,43,750
He is going for a bike ride.,"Ele está pedalando rumo ao horizonte.
",He's cycling into the blue.,0,71,31,363,383,338,336,261,1783
bite the dust,"Esticar as canelas.
",Warm up the calves.,1,57,31,464,592,560,581,541,2826
falling apart at the seams,"Desfazendo-se aos poucos.
",Fading into the ether.,1,62,31,465,402,619,444,522,2545
They are jogging through the park.,"Eles deslizam pelo parque.
",They drift through the park.,0,14,12,99,139,163,306,256,989
backseat driver,Cobrar demais o motorista.,Run the driver ragged.,1,51,31,370,648,693,649,558,3000
a blessing in disguise,"Uma bênção disfarçada.
",A blessing in disguise.,1,1,31,51,28,21,49,1,182
back against the wall,Encurralado.,Cornered.,1,77,31,654,508,592,488,382,2732
blue collar,Mão de obra.,Muscle and bone.,1,77,31,641,637,689,593,625,3293
kill two birds with one stone,Matar dois coelhos com uma cajadada só.,Hit two birds with one stone.,1,6,6,73,121,106,244,98,654
at the drop of a hat,"Num piscar de olhos.
",In the blink of an eye.,1,51,31,422,382,252,103,93,1334
by a hair's breadth,"Por um triz.
",By a hair's breadth.,1,1,31,35,71,91,427,275,931
They are planning a trip to Europe.,Eles estão traçando rotas para o Velho Mundo.,They’re charting courses for Yesterday.,0,71,31,394,428,671,633,680,2908
big picture,"A visão geral.
",The big picture.,1,8,31,216,95,44,40,1,435
beat around the bush,Enrolar a conversa.,Beat around the bush.,1,1,31,62,47,95,631,142,1009
cast in stone,Escrito em pedra.,Chiseled in stone.,1,17,31,289,146,103,350,122,1058
They went to the supermarket yesterday.,Foram buscar sustento no reino dos açougues e corredores.,They sought sustenance in the kingdom of butchers and aisles.,0,60,31,468,360,595,525,626,2665
She cleaned the kitchen after dinner.,Ela varreu a bagunça que a noite deixou para trás.,She swept away the debris of the night.,0,57,31,359,440,392,141,375,1795
He traveled to Paris last year.,"Ele rumou a Paris no ano passado.
",He set his sails for Paris last year.,0,26,22,115,161,328,304,88,1044
face like thunder,Afastar como trovão.,To thunder away.,1,51,31,511,631,356,657,485,2722
I am learning how to cook.,"Estou desvendando os segredos da cozinha.
",I'm peeling back the layers of the kitchen.,0,73,31,373,375,504,274,456,2086
She is wearing a red dress.,"Ela veste um rubi.
",She wears a heart of fire.,0,51,31,184,359,517,629,551,2322
come rain or shine,Em tempo bom ou mau.,Through thick and thin.,1,77,31,660,599,633,433,601,3034
get the ball rolling,Colocar a máquina em movimento.,Get the gears turning.,1,32,31,319,328,162,78,84,1034
He went to the gym for a workout session.,Ele foi à academia para dar um gás.,To pump himself up.,0,71,31,585,536,627,684,630,3164
He is drinking tea in the morning.,Ele saboreia a aurora em xícaras.,He sips dawn in porcelain.,0,51,31,318,634,561,689,578,2862
They enjoyed a family dinner together.,"Uniram-se à mesa, nutrindo laços.","They gathered around the table, weaving kinship.",0,71,31,424,329,322,219,330,1726
They are playing basketball in the yard.,"Eles estão se divertindo à toa no quintal.
",They're letting their hair down in the backyard.,0,44,31,290,452,573,670,662,2722
"blood, sweat, and tears","Lágrimas, suor e sangue.","Tears, sweat, and sacrifice.",1,32,15,120,225,63,47,147,649
flying high,"Voando alto.
",Soaring high.,1,32,31,160,122,189,145,94,773
bring home the bacon,Garantir o sustento.,Make ends meet.,1,77,31,626,488,546,550,487,2805
give someone the cold shoulder,Dar o silêncio gelado.,To ice someone out.,1,62,31,477,321,436,682,246,2255
bite your tongue,Morder a língua.,Bite your tongue.,1,1,31,63,61,51,278,89,574
all in a day's work,Rotina.,The treadmill of days.,1,77,31,578,639,486,668,647,3126
eyes in the back of your head,Ter olhos nas costas.,To have one's eyes in the back of one's head.,1,19,17,228,165,314,429,289,1461
He ate his breakfast quickly.,"Ele engoliu o café da manhã.
",He bolted down his breakfast.,0,24,31,109,405,379,467,303,1718
back on your feet,"De volta à labareda.
",Back to the blaze.,1,60,31,619,482,526,521,474,2713
"blood, sweat, and tears","Sangue, suor e lágrimas.
","Blood, sweat, and tears.",1,1,6,19,42,2,3,14,87
They are driving to the countryside.,Eles estão rumando para o campo.,They're sailing into the wilderness.,0,51,31,139,149,236,305,429,1340
She cooked dinner for her family.,Ela preparou o ninho para sua família.,She feathered her nest for her family.,0,23,18,152,459,613,256,589,2110
ace in the hole,"A carta na manga.
",An ace up one's sleeve.,1,66,31,487,380,447,335,444,2190
hard as nails,De aço.,Steeled.,1,77,31,664,384,405,227,511,2299
kill two birds with one stone,"Matar dois coelhos com uma cajadada só.
",Hit two birds with one stone.,1,6,6,73,121,105,242,109,662
black and blue,"Lívia e roxo.
",Liv and violet.,1,51,31,572,584,288,266,290,2082
how the cookie crumbles,"Como as cartas caem.
",As the dice roll.,1,60,31,392,494,426,554,259,2216
He played video games all evening.,"Ele se perdeu no labirinto digital da noite toda.
",He wandered the digital maze all night long.,0,57,31,241,208,302,160,322,1321
all bark and no bite,"Muito latido, pouca mordida.","All bark, no bite.",1,4,31,89,82,80,493,251,1030
beef up,Fortalecer a estrutura.,Shore up the foundations.,1,51,31,535,420,601,298,408,2344
be on cloud nine,Viver no paraíso.,Dwelling in Eden.,1,77,31,553,597,516,395,483,2652
They traveled to the mountains for vacation.,Eles buscaram refúgio nas alturas para recarregar as energias.,They sought solace in the heavens to replenish their souls.,0,61,31,387,263,478,310,548,2078
They went on a road trip last summer.,"Eles partiram em uma jornada sem rumo naquele verão.
",They wandered off into the long grass of that summer.,0,62,31,371,355,393,474,469,2155
clear the air,"Esclarecer as contas.
",Settle the score.,1,51,31,479,268,389,150,298,1666
cat got your tongue,"Perdeu as palavras?
",Lost for words?,1,77,31,659,477,553,311,533,2641
as busy as a bee,"Trabalhando que nem uma formiga.
",Working like a beaver.,1,62,31,438,411,411,84,202,1639
They are visiting their friends in the city.,Eles estão cortando uma escapada com os amigos na metrópole.,They're carving out a getaway with friends in the big city.,0,32,31,150,154,375,264,411,1417
come out of your shell,Sair da toca.,Emerge from the burrow.,1,77,31,488,203,228,527,321,1875
a storm in a teacup,Uma tempestade num copo d'água.,A tempest in a teacup.,1,7,31,79,176,112,51,120,576
a tower of strength,"Pilastra de firmeza.
",Anchor of Steadfastness.,1,57,31,351,273,233,199,291,1435
all's fair in love and war,Tudo vale nos campos do amor e da batalha.,All's fair in love and war.,1,1,6,18,52,12,122,20,231
She is doing her hair in front of the mirror.,Ela se ajeita diante do espelho.,She smooths herself into being.,0,73,31,443,476,662,639,635,2959
all the world's a stage,O mundo é um palco.,All the world’s a stage.,1,1,31,45,81,20,26,3,207
"if the shoe fits, wear it","Se servir, use.
","If it fits, use it.",1,29,31,183,159,184,582,49,1217
They have three children.,Eles construíram um lar para três vidas.,They wove a nest for three souls.,0,46,31,610,483,563,54,263,2050
She is preparing for a job interview.,Ela está afinando a armadura para o embate.,She's honing her defenses for the clash.,0,59,31,326,403,272,237,512,1840
They had a barbecue in the backyard.,"Eles armaram um luau no quintal.
",They threw a moonlit backyard bash.,0,35,31,215,336,193,505,427,1742
bite the bullet,Engolir o sapo.,Swallow the frog.,1,51,31,361,602,406,546,345,2342
They went hiking in the mountains.,Eles se aventuraram pelos picos.,They climbed into the heights.,0,47,31,204,194,281,300,190,1247
keep your chin up,"Mantenha a cabeça erguida.
",Keep your chin up.,1,1,31,36,40,18,65,16,207
cut from the same cloth,Ser da mesma laia.,Cut from the same cloth.,1,1,11,33,63,117,439,112,776
full plate,"Armadura completa.
",Full battle gear.,1,41,31,399,333,211,284,90,1389
alive and kicking,"Em ótima forma e cheio de vigor.
",Raring to go and brimming with life.,1,66,31,474,516,257,553,309,2206
a place in the sun,Um lugar ao sol.,A place in the sun.,1,1,11,40,46,24,28,1,151
They went to the zoo with the kids.,Levaram os pequenos para o reino animal.,They sent the little ones back to the wild.,0,48,31,261,257,227,368,479,1671
I took a photo of the beautiful sunset.,Capturei o crepúsculo em um raio de luz.,I bottled dusk in a sunbeam.,0,57,31,300,502,634,564,661,2749
bad egg,"Ovelha negra.
",Black sheep.,1,77,31,504,587,668,17,267,2151
back to square one,"Voltar à estaca zero.
",Back to square one.,1,1,31,44,38,22,45,7,188
break the ice,Quebrar o gelo.,Break the ice.,1,1,31,71,55,65,44,1,268
The train arrived at the station on time.,O trem chegou à estação no ponto marcado.,The moment arrived as planned.,0,54,31,421,295,282,569,537,2189
She took a nap after lunch.,"Ela cochilou um bocado depois do almoço.
",She dozed off a bit after lunch.,0,23,31,116,112,161,101,151,695
He is watering the plants.,Ele está nutrindo a vida.,He's tending the bloom.,0,40,31,105,169,240,571,299,1455
at the helm,No leme.,At the helm.,1,1,31,67,20,75,524,156,874
The dog is playing outside.,"O cão se diverte ao ar livre.
",The hound frolics in the sun's embrace.,0,70,31,332,553,415,263,247,1911
coming full circle,Voltar ao ponto de partida.,Come back to square one.,1,77,31,521,348,333,129,136,1575
hold your horses,Calma nos cavalos.,Hold your horses.,1,1,31,50,54,72,468,66,742
as smooth as silk,Sedoso como a seda.,Silky as a whisper.,1,60,31,448,272,376,286,224,1697
a shot in the dark,Um tiro no escuro.,A shot in the dark.,1,1,11,43,22,25,39,1,142
burst at the seams,"Explodir de tanta emoção/conteúdo.
",Burst at the seams.,1,1,31,20,9,94,599,385,1139
They went to a concert last night.,Eles se entregaram à música ontem à noite.,They surrendered to the music last night.,0,27,31,185,197,199,70,344,1053
cat got your tongue,Perdeu as palavras?,Lost for words?,1,77,31,659,477,552,355,549,2700
They are having a discussion in the classroom.,Um diálogo floresce na sala de aula.,A conversation blossoms in the classroom.,0,26,23,169,189,141,46,99,693
behind the eight ball,"Em apuros.
",Up the creek.,1,57,31,567,670,503,514,674,3016
She is painting a picture on the canvas.,"Ela está tecendo cores sobre a tela.
",She's painting hues onto the canvas.,0,30,31,119,205,167,224,186,962
against the grain,Ir contra a corrente.,Swim upstream.,1,77,31,686,660,481,135,218,2288
She is typing on her computer.,"Ela tece palavras na tela.
",She weaves words onto the screen.,0,69,31,284,167,331,106,211,1199
left out in the cold,"Deixado à margem.
",Cast aside.,1,77,31,540,262,501,157,135,1703
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,1,1,4,6,16,13,2,1,43
bend over backward,Fazer fogo com água.,Turn straw into gold.,1,77,31,562,686,675,496,576,3103
back to the grind,De volta à labuta.,Back to the grind.,1,1,31,56,18,8,448,34,596
let sleeping dogs lie,Não acorde o leão adormecido.,Let sleeping dogs lie.,1,1,31,42,75,67,254,26,496
a snowball's chance in hell,"A mínima que é.
",The barest thread.,1,77,31,580,666,646,672,596,3268
fighting a losing battle,"Lutar contra um rio corrente.
",Swimming against the tide.,1,77,31,523,635,558,280,421,2525
a fish out of water,Peixe fora d'água.,A fish out of water.,1,1,11,27,50,33,33,1,156
hit the ground running,Assumir o controle de imediato.,Seize the reins.,1,57,31,470,534,362,292,302,2048
heart of stone,Coração de pedra.,A heart of flint.,1,26,31,269,414,149,119,164,1172
He took a walk in the park.,Ele deu um passeio pela vida.,He wandered through life.,0,67,31,429,341,471,239,418,1996
They are enjoying a cup of coffee together.,Compartilham um instante de calor e aroma.,Savor a fleeting warmth and fragrance.,0,72,31,564,554,500,291,651,2663
I made a cup of tea for myself.,Preparei um chá para me acalmar.,I brewed a balm for my soul.,0,42,31,250,317,280,349,488,1757
cooking up a storm,"Cozinhando aos borbotões.
",Simmering to bits.,1,77,31,566,314,631,675,521,2815
fall through the cracks,Escapar pelas frestas.,Slip through the cracks.,1,11,31,85,104,100,477,83,891
bend over backwards,Fazer malabarismos para conseguir.,Juggling commitments.,1,77,31,545,659,678,677,584,3251
dance with the devil,Dançar com o diabo.,Deal with the devil.,1,11,31,232,212,197,460,274,1417
dark horse,Cavalo Sombrio.,Shadow Steed.,1,77,31,486,248,344,328,268,1782
She enjoys walking in the park.,"Ela encontra prazer em passear na brisa da vida.
",She savors drifting on life's gentle breeze.,0,72,31,382,358,397,410,535,2185
go the extra mile,"Ir além do esperado.
",To soar past the horizon.,1,62,31,628,423,645,445,361,2595
