indice,ingles_original,mediana_bertscore,limite_inferior,limite_superior,num_pares_total,num_pares_discrepantes,status,status_manual
435,He is drinking tea in the morning.,0.88,0.66,1.1,21,0,consistente,
436,They enjoyed a family dinner together.,0.83,0.62,1.04,21,0,consistente,
437,They are playing basketball in the yard.,0.88,0.66,1.1,21,0,consistente,
438,"blood, sweat, and tears",0.91,0.68,1.14,21,0,consistente,
439,flying high,0.92,0.69,1.15,21,5,discrepante,
440,bring home the bacon,0.81,0.61,1.02,21,0,consistente,
441,give someone the cold shoulder,0.75,0.56,0.93,21,0,consistente,
442,bite your tongue,0.92,0.69,1.14,21,0,consistente,
443,all in a day's work,0.75,0.56,0.93,21,0,consistente,
444,eyes in the back of your head,0.77,0.58,0.96,21,0,consistente,
445,He ate his breakfast quickly.,0.92,0.69,1.15,21,0,consistente,
446,back on your feet,0.76,0.57,0.95,21,0,consistente,
447,"blood, sweat, and tears",0.91,0.68,1.14,21,0,consistente,
448,They are driving to the countryside.,0.85,0.64,1.06,21,0,consistente,
449,She cooked dinner for her family.,0.92,0.69,1.15,21,0,consistente,
450,ace in the hole,0.76,0.57,0.96,21,0,consistente,
451,hard as nails,0.72,0.54,0.91,21,0,consistente,
452,kill two birds with one stone,0.91,0.69,1.14,21,0,consistente,
453,black and blue,0.78,0.58,0.97,21,0,consistente,
454,how the cookie crumbles,0.75,0.56,0.94,21,0,consistente,
455,He played video games all evening.,0.87,0.65,1.09,21,0,consistente,
456,all bark and no bite,0.71,0.53,0.89,21,0,consistente,
457,beef up,0.69,0.52,0.87,21,0,consistente,
458,be on cloud nine,0.86,0.65,1.08,21,0,consistente,
459,They traveled to the mountains for vacation.,0.88,0.66,1.09,21,0,consistente,
460,They went on a road trip last summer.,0.89,0.67,1.11,21,0,consistente,
461,clear the air,0.81,0.61,1.01,21,0,consistente,
462,cat got your tongue,0.76,0.57,0.95,21,0,consistente,
463,as busy as a bee,0.86,0.65,1.08,21,0,consistente,
464,They are visiting their friends in the city.,0.88,0.66,1.1,21,0,consistente,
465,come out of your shell,0.84,0.63,1.05,21,0,consistente,
466,a storm in a teacup,0.88,0.66,1.09,21,0,consistente,
467,a tower of strength,0.85,0.64,1.07,21,0,consistente,
468,all's fair in love and war,0.86,0.64,1.07,21,0,consistente,
469,She is doing her hair in front of the mirror.,0.89,0.67,1.11,21,0,consistente,
470,all the world's a stage,0.9,0.68,1.13,21,0,consistente,
471,"if the shoe fits, wear it",0.85,0.64,1.06,21,0,consistente,
472,They have three children.,0.79,0.6,0.99,21,0,consistente,
473,She is preparing for a job interview.,0.86,0.64,1.07,21,0,consistente,
474,They had a barbecue in the backyard.,0.97,0.73,1.21,21,0,consistente,
475,bite the bullet,0.76,0.57,0.95,21,0,consistente,
476,They went hiking in the mountains.,0.88,0.66,1.1,21,0,consistente,
477,keep your chin up,0.79,0.59,0.98,21,0,consistente,
478,cut from the same cloth,0.77,0.58,0.97,21,0,consistente,
479,full plate,0.87,0.65,1.09,21,5,discrepante,
480,alive and kicking,0.72,0.54,0.91,21,0,consistente,
481,a place in the sun,0.91,0.68,1.14,21,0,consistente,
482,They went to the zoo with the kids.,0.86,0.65,1.08,21,0,consistente,
483,I took a photo of the beautiful sunset.,0.76,0.57,0.94,21,0,consistente,
484,bad egg,0.72,0.54,0.9,21,0,consistente,
485,back to square one,0.83,0.62,1.03,21,0,consistente,
486,break the ice,0.92,0.69,1.16,21,0,consistente,
487,The train arrived at the station on time.,0.92,0.69,1.15,21,0,consistente,
488,She took a nap after lunch.,0.91,0.68,1.14,21,0,consistente,
489,He is watering the plants.,1.0,0.75,1.25,21,0,consistente,
490,at the helm,0.82,0.61,1.02,21,0,consistente,
491,The dog is playing outside.,0.87,0.65,1.08,21,0,consistente,
492,coming full circle,0.79,0.59,0.99,21,0,consistente,
493,hold your horses,0.76,0.57,0.95,21,0,consistente,
494,as smooth as silk,0.8,0.6,1.01,21,0,consistente,
495,a shot in the dark,0.93,0.7,1.16,21,0,consistente,
496,burst at the seams,0.72,0.54,0.9,21,0,consistente,
497,They went to a concert last night.,0.87,0.65,1.09,21,0,consistente,
498,cat got your tongue,0.79,0.59,0.99,21,0,consistente,
499,They are having a discussion in the classroom.,0.92,0.69,1.15,21,0,consistente,
500,behind the eight ball,0.72,0.54,0.89,21,0,consistente,
501,She is painting a picture on the canvas.,0.94,0.71,1.18,21,0,consistente,
502,against the grain,0.86,0.65,1.08,21,0,consistente,
503,She is typing on her computer.,0.95,0.71,1.19,21,0,consistente,
504,left out in the cold,0.77,0.58,0.96,21,0,consistente,
505,don't judge a book by its cover,1.0,0.75,1.25,21,0,consistente,
506,bend over backward,0.7,0.53,0.88,21,0,consistente,
507,back to the grind,0.8,0.6,1.0,21,0,consistente,
508,let sleeping dogs lie,0.79,0.59,0.98,21,0,consistente,
509,a snowball's chance in hell,0.7,0.53,0.88,21,0,consistente,
510,fighting a losing battle,0.8,0.6,1.0,21,0,consistente,
511,a fish out of water,0.9,0.67,1.12,21,0,consistente,
512,hit the ground running,0.77,0.58,0.97,21,0,consistente,
513,heart of stone,0.96,0.72,1.2,21,0,consistente,
514,He took a walk in the park.,0.92,0.69,1.15,21,0,consistente,
515,They are enjoying a cup of coffee together.,0.78,0.59,0.98,21,0,consistente,
516,I made a cup of tea for myself.,0.88,0.66,1.1,21,0,consistente,
517,cooking up a storm,0.74,0.55,0.92,21,0,consistente,
518,fall through the cracks,0.76,0.57,0.95,21,0,consistente,
519,bend over backwards,0.71,0.54,0.89,21,0,consistente,
520,dance with the devil,0.92,0.69,1.15,21,0,consistente,
521,dark horse,0.81,0.61,1.01,21,0,consistente,
522,She enjoys walking in the park.,0.85,0.64,1.06,21,0,consistente,
523,go the extra mile,0.77,0.58,0.96,21,0,consistente,
524,He is looking out the window at the rain.,0.88,0.66,1.1,21,0,consistente,
525,feeling under the weather,0.7,0.52,0.87,21,0,consistente,
526,bridge the gap,0.75,0.56,0.94,21,0,consistente,
527,clear as crystal,0.78,0.58,0.97,21,0,consistente,
528,actions speak louder than words,0.9,0.67,1.12,21,0,consistente,
529,cutting corners,0.72,0.54,0.9,21,0,consistente,
530,cost an arm and a leg,0.79,0.6,0.99,21,0,consistente,
531,a far cry,0.73,0.54,0.91,21,0,consistente,
532,carry the torch,0.79,0.59,0.98,21,0,consistente,
533,chew the fat,0.72,0.54,0.9,21,0,consistente,
534,at a snail's pace,0.79,0.59,0.99,21,0,consistente,
535,He is taking a nap on the couch.,0.83,0.62,1.04,21,0,consistente,
536,dressed to kill,0.78,0.59,0.98,21,0,consistente,
537,all in your head,0.87,0.65,1.08,21,0,consistente,
538,He is writing a story for school.,0.95,0.71,1.19,21,0,consistente,
539,She painted a picture of a landscape.,0.95,0.71,1.19,21,0,consistente,
540,banging your head against a brick wall,0.89,0.67,1.11,21,0,consistente,
541,She is visiting her grandmother in the hospital.,0.93,0.7,1.16,21,0,consistente,
542,She had a meeting with her boss.,0.89,0.67,1.11,21,0,consistente,
543,She is knitting a scarf for winter.,0.9,0.67,1.12,21,0,consistente,
544,She took the train to the city.,0.86,0.64,1.07,21,0,consistente,
545,break a leg,0.76,0.57,0.95,21,0,consistente,
546,They are taking pictures in front of the monument.,0.87,0.65,1.09,21,0,consistente,
547,They went for a walk in the park.,0.84,0.63,1.04,21,0,consistente,
548,below the belt,0.79,0.59,0.98,21,0,consistente,
549,caught red-handed,0.74,0.55,0.92,21,0,consistente,
550,make a mountain out of a molehill,0.77,0.58,0.96,21,0,consistente,
551,burning bridges,0.84,0.63,1.05,21,0,consistente,
552,burn a hole in your pocket,0.81,0.6,1.01,21,0,consistente,
553,He is waiting for the bus.,0.9,0.68,1.13,21,0,consistente,
554,better safe than sorry,0.92,0.69,1.15,21,0,consistente,
555,burnt to a crisp,0.76,0.57,0.94,21,0,consistente,
556,They are doing laundry in the basement.,0.9,0.67,1.12,21,0,consistente,
557,as light as a feather,0.87,0.65,1.09,21,0,consistente,
558,as fit as a fiddle,0.8,0.6,1.01,21,0,consistente,
559,They are going for a run in the morning.,0.9,0.68,1.13,21,0,consistente,
560,adding insult to injury,0.72,0.54,0.9,21,0,consistente,
561,apple of discord,0.9,0.68,1.13,21,0,consistente,
562,broken dreams,0.87,0.65,1.08,21,0,consistente,
563,bitten by the bug,0.74,0.55,0.92,21,0,consistente,
564,blown away,0.74,0.56,0.93,21,0,consistente,
565,big shoes to fill,0.76,0.57,0.95,21,0,consistente,
566,He is cleaning the garage.,0.87,0.65,1.08,21,0,consistente,
567,She played tennis with her brother.,0.94,0.71,1.18,21,0,consistente,
568,grasp at straws,0.81,0.61,1.02,21,0,consistente,
569,coming up roses,0.68,0.51,0.85,21,0,consistente,
570,The car stopped at the red light.,0.9,0.67,1.12,21,0,consistente,
571,They are sitting around the campfire.,0.91,0.68,1.14,21,0,consistente,
572,He is working out in the gym.,0.87,0.65,1.08,21,0,consistente,
573,She is playing with her cat.,0.92,0.69,1.15,21,0,consistente,
574,He is fixing the car.,0.89,0.67,1.11,21,0,consistente,
575,I like to read books in the evening.,0.79,0.59,0.99,21,0,consistente,
576,They went to a museum last month.,0.85,0.64,1.06,21,0,consistente,
577,They went to the library to borrow books.,0.81,0.61,1.02,21,0,consistente,
578,flying off the handle,0.79,0.59,0.98,21,0,consistente,
579,catch lightning in a bottle,0.86,0.64,1.07,21,0,consistente,
580,bare your soul,0.76,0.57,0.95,21,0,consistente,
581,They met their friends at the café.,0.92,0.69,1.15,21,0,consistente,
582,jump the gun,0.68,0.51,0.86,21,0,consistente,
583,She worked on her project all afternoon.,0.9,0.68,1.13,21,0,consistente,
584,bury the hatchet,0.84,0.63,1.05,21,0,consistente,
585,They are watching TV in the living room.,0.87,0.66,1.09,21,0,consistente,
586,They are eating lunch together.,0.82,0.62,1.03,21,0,consistente,
587,He is taking a walk around the block.,0.99,0.74,1.23,21,0,consistente,
588,hit the nail on the head,0.85,0.64,1.06,21,0,consistente,
589,He sent an email to his colleague.,0.92,0.69,1.15,21,0,consistente,
590,carry a torch,0.78,0.59,0.98,21,0,consistente,
591,They took a bus to the city center.,0.94,0.7,1.17,21,0,consistente,
592,eat your heart out,0.74,0.56,0.93,21,0,consistente,
593,I did the laundry yesterday.,0.78,0.58,0.97,21,0,consistente,
594,They are taking a walk along the beach.,0.85,0.64,1.06,21,0,consistente,
595,a weight on my shoulders,0.88,0.66,1.1,21,0,consistente,
596,can't cut the mustard,0.76,0.57,0.95,21,0,consistente,
597,come down to earth,0.8,0.6,1.0,21,0,consistente,
598,She is writing a letter to her friend.,0.88,0.66,1.1,21,0,consistente,
599,bad apple,0.83,0.62,1.04,21,0,consistente,
600,apple of my eye,0.9,0.68,1.13,21,0,consistente,
601,She is making a salad for lunch.,0.97,0.73,1.21,21,0,consistente,
602,He repaired the broken chair.,0.95,0.71,1.19,21,0,consistente,
603,icing on the cake,0.85,0.64,1.07,21,0,consistente,
604,She went to the dentist for a check-up.,0.89,0.67,1.12,21,0,consistente,
605,armed to the teeth,0.92,0.69,1.15,21,0,consistente,
606,Water boils at 100°C.,1.0,0.75,1.25,21,0,consistente,
607,red herring,0.72,0.54,0.9,21,0,consistente,
608,have a lot on your plate,0.72,0.54,0.9,21,0,consistente,
609,a clean slate,0.72,0.54,0.9,21,0,consistente,
610,feeding the fire,0.88,0.66,1.1,21,0,consistente,
611,finding a needle in a haystack,0.9,0.67,1.12,21,0,consistente,
612,She is shopping for groceries.,0.88,0.66,1.1,21,0,consistente,
613,born with a silver spoon,0.84,0.63,1.05,21,0,consistente,
614,let the cat out of the bag,0.75,0.56,0.94,21,0,consistente,
615,black mark,0.82,0.61,1.02,21,0,consistente,
616,call it a day,0.75,0.57,0.94,21,0,consistente,
617,batten down the hatches,0.76,0.57,0.95,21,0,consistente,
618,call it a night,0.77,0.58,0.96,21,0,consistente,
619,I worked on my computer for two hours.,0.89,0.67,1.11,21,0,consistente,
620,man of the hour,0.84,0.63,1.05,21,0,consistente,
621,from the bottom of my heart,0.9,0.67,1.12,21,0,consistente,
622,beat around the bush,0.71,0.53,0.88,21,0,consistente,
623,go the extra mile,0.79,0.59,0.99,21,0,consistente,
624,down to earth,0.83,0.62,1.03,21,0,consistente,
625,They are chatting in the living room.,0.9,0.67,1.12,21,0,consistente,
626,The dog ran across the yard.,0.88,0.66,1.1,21,0,consistente,
627,bigger fish to fry,0.76,0.57,0.94,21,0,consistente,
628,climbing the walls,0.76,0.57,0.95,21,0,consistente,
629,as clear as day,0.8,0.6,0.99,21,0,consistente,
630,like a fish out of water,0.94,0.71,1.18,21,0,consistente,
631,"like father, like son",0.77,0.58,0.97,21,0,consistente,
632,blaze a trail,0.86,0.65,1.08,21,0,consistente,
633,dare to dream,0.74,0.56,0.93,21,0,consistente,
634,at your wit’s end,0.72,0.54,0.9,21,0,consistente,
635,a piece of cake,0.73,0.54,0.91,21,0,consistente,
636,call the shots,0.88,0.66,1.1,21,0,consistente,
637,close call,0.72,0.54,0.9,21,0,consistente,
638,against the clock,0.81,0.61,1.01,21,0,consistente,
639,eye of the storm,0.81,0.61,1.02,21,0,consistente,
640,don't count your chickens before they hatch,0.84,0.63,1.05,21,0,consistente,
641,They are having a family gathering at home.,0.76,0.57,0.95,21,0,consistente,
642,big time,0.9,0.67,1.12,21,0,consistente,
643,a drop in the ocean,0.94,0.71,1.18,21,0,consistente,
644,big fish in a small pond,0.8,0.6,1.01,21,0,consistente,
645,She studied for the test all week.,0.84,0.63,1.05,21,0,consistente,
646,against all odds,0.95,0.71,1.19,21,5,discrepante,
647,hit the nail on the head,0.88,0.66,1.1,21,0,consistente,
648,back against the wall,0.68,0.51,0.86,21,0,consistente,
649,They watched the sunrise at the beach.,0.85,0.64,1.06,21,0,consistente,
650,butter wouldn't melt,0.72,0.54,0.9,21,0,consistente,
651,a taste of their own medicine,0.8,0.6,1.0,21,0,consistente,
652,She is organizing her closet.,0.88,0.66,1.1,21,0,consistente,
653,She went to the gym for a workout.,0.89,0.66,1.11,21,0,consistente,
654,dropping like flies,0.86,0.64,1.07,21,0,consistente,
655,a taste of freedom,0.87,0.66,1.09,21,0,consistente,
656,hold your horses,0.71,0.53,0.88,21,0,consistente,
657,The weather is very cold today.,0.85,0.64,1.06,21,0,consistente,
658,blood runs cold,0.84,0.63,1.06,21,0,consistente,
659,don't cry over spilled milk,0.91,0.68,1.14,21,0,consistente,
660,back to basics,0.81,0.61,1.02,21,0,consistente,
661,go the extra mile,0.81,0.6,1.01,21,0,consistente,
662,carved in stone,0.88,0.66,1.11,21,0,consistente,
663,She brushed her teeth before bed.,0.89,0.67,1.12,21,0,consistente,
664,chip off the old block,0.69,0.51,0.86,21,0,consistente,
665,cat nap,0.69,0.52,0.86,21,0,consistente,
666,chip on your shoulder,0.7,0.52,0.87,21,0,consistente,
667,as gentle as a lamb,0.8,0.6,1.0,21,0,consistente,
668,They went to a theme park for the day.,0.89,0.67,1.11,21,0,consistente,
669,burn the midnight oil,0.79,0.59,0.99,21,0,consistente,
670,blind leading the blind,0.88,0.66,1.1,21,0,consistente,
671,blue in the face,0.69,0.51,0.86,21,0,consistente,
672,She is taking a picture of the flowers in the garden.,0.9,0.67,1.12,21,0,consistente,
673,They are having a barbecue in the garden.,0.92,0.69,1.15,21,0,consistente,
674,jump the gun,0.66,0.5,0.83,21,0,consistente,
675,They are walking through the city streets.,0.89,0.67,1.11,21,0,consistente,
676,She reads a book every night.,0.92,0.69,1.15,21,0,consistente,
677,chained to the desk,0.77,0.57,0.96,21,0,consistente,
678,He did some gardening in the afternoon.,0.83,0.63,1.04,21,0,consistente,
679,They enjoyed a picnic in the park.,0.84,0.63,1.05,21,0,consistente,
680,dive in headfirst,0.95,0.72,1.19,21,0,consistente,
681,have the upper hand,0.84,0.63,1.05,21,0,consistente,
682,She is ironing her clothes.,0.9,0.68,1.13,21,0,consistente,
683,He plays soccer every weekend.,0.89,0.66,1.11,21,0,consistente,
684,at the drop of a hat,0.71,0.53,0.89,21,0,consistente,
685,have a heart of stone,0.93,0.7,1.16,21,0,consistente,
686,He worked on his computer for hours.,0.88,0.66,1.11,21,0,consistente,
687,airing dirty laundry,0.79,0.59,0.98,21,0,consistente,
688,dead in the water,0.73,0.55,0.91,21,0,consistente,
689,another string to your bow,0.76,0.57,0.95,21,0,consistente,
690,"easy come, easy go",0.75,0.57,0.94,21,0,consistente,
691,bend over backwards,0.74,0.55,0.92,21,0,consistente,
692,bolt from the blue,0.74,0.55,0.92,21,0,consistente,
693,dropping the ball,0.81,0.61,1.01,21,0,consistente,
694,born with a silver spoon,0.86,0.64,1.07,21,0,consistente,
695,as plain as day,0.78,0.59,0.98,21,0,consistente,
696,like a fish to water,0.92,0.69,1.16,21,0,consistente,
697,change your tune,0.77,0.58,0.97,21,0,consistente,
698,adding fuel to the fire,0.74,0.56,0.93,21,0,consistente,
699,They are playing board games in the living room.,0.84,0.63,1.04,21,0,consistente,
700,dying to know,0.88,0.66,1.1,21,0,consistente,
701,She is making a smoothie for breakfast.,0.93,0.7,1.16,21,0,consistente,
702,in the same boat,0.85,0.64,1.07,21,0,consistente,
703,better late than never,0.86,0.64,1.07,21,0,consistente,
704,frog in your throat,0.78,0.59,0.98,21,0,consistente,
705,down in the dumps,0.71,0.53,0.89,21,0,consistente,
706,blood is thicker than water,0.86,0.64,1.07,21,0,consistente,
707,as high as a kite,0.68,0.51,0.84,21,0,consistente,
708,foot in the door,0.74,0.55,0.92,21,0,consistente,
709,crying over spilled milk,0.92,0.69,1.15,21,0,consistente,
710,He is studying for his exams.,0.85,0.63,1.06,21,0,consistente,
711,darkest before dawn,0.85,0.64,1.06,21,0,consistente,
712,They are taking a family vacation.,0.88,0.66,1.1,21,0,consistente,
713,cat got your tongue,0.77,0.58,0.96,21,0,consistente,
714,barking up the wrong tree,0.77,0.58,0.96,21,0,consistente,
715,bird's eye view,0.77,0.58,0.96,21,0,consistente,
716,by a long shot,0.74,0.56,0.93,21,0,consistente,
717,add insult to injury,0.68,0.51,0.85,21,0,consistente,
