ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
a mountain to climb,"Uma montanha para escalar
","A mountain to climb
",1,41,2,168,157,339,1,709
break the back of it,"Acabar com o pior.
","End the worst.
",43,41,343,586,556,472,287,2328
blowing off steam,"Desabafar
","To vent
",51,41,296,535,618,630,338,2509
cook up a storm,"Fazer uma tempestade na cozinha
","Make a storm in the kitchen.
",36,41,243,457,424,418,166,1785
dead in the water,"Sem saída
","No way out
",51,41,450,477,613,206,214,2052
bite the big one,"Ir para o beleléu
","To go belly up
",51,41,354,667,637,604,381,2735
buy a lemon,"Comprar um carro ""bomba""
","Buy a ""lemon"" car.
",9,41,226,518,534,644,256,2228
get a second wind,"Recuperar o fôlego
","Catch your breath
",51,41,370,511,599,331,290,2193
He is working on his laptop.,"Ele está trabalhando em seu laptop.
","He is working on his laptop.
",1,1,4,201,5,150,1,363
clear as mud,"Claro como água barrenta
","Clear as muddy water
",27,41,172,395,393,568,86,1682
different strokes for different folks,"Cada um com seu cada qual.
","To each their own.
",51,41,385,605,628,525,376,2611
She had a cup of soup for lunch.,"Ela tomou uma xícara de sopa no almoço.
","She had a cup of soup for lunch.
",1,1,3,182,168,245,1,601
cast the first stone,"Atire a primeira pedra.
","Let he who is without sin cast the first stone.
",27,40,232,548,477,669,244,2237
call a spade a spade,"Chamar o pão pão.
","Call bread bread.
",43,41,330,668,648,549,340,2619
a ray of hope,"Um raio de esperança
","A ray of hope
",1,41,4,107,133,47,1,334
They are painting the walls of their house.,"Eles estão pintando as paredes da casa deles.
","They are painting the walls of their house.
",1,1,4,169,119,78,32,404
crash course,"Curso intensivo
","Intensive course
",31,41,240,502,432,122,46,1414
The sun rises in the east.,"O sol nasce no leste.
","The sun rises in the east.
",1,1,3,222,47,49,1,324
an arm and a leg,"Um rim e um pedaço do fígado
","A kidney and a piece of liver
",39,41,230,569,619,89,344,1931
breaking the mold,"Quebrando barreiras
","Breaking barriers
",36,41,225,507,462,451,148,1870
caught red-handed,"De mãos dadas na massa
","Hand in hand in the dough
",51,41,425,666,675,482,396,2736
blood from a stone,"Sangue de pedra.
","Blood of stone.
",27,41,219,426,457,234,76,1480
beyond the pale,"Além do aceitável
","Beyond acceptable
",36,41,259,628,472,274,106,1816
She is walking through the forest.,"Ela está andando pela floresta.
","She is walking through the forest.
",1,1,3,45,108,579,1,738
blood runs thicker than water,"Sangue do que água.
","Blood is thicker than water.
",11,41,136,360,336,611,12,1507
follow your nose,"Siga seu instinto.
","Follow your gut.
",22,41,202,441,442,391,213,1752
hard nut to crack,"Difícil de resolver
","Hard to solve
",27,41,254,513,464,430,158,1887
an ounce of prevention is worth a pound of cure,"Um grama de prevenção vale um quilo de cura.
","An ounce of prevention is worth a pound of cure.
",1,4,25,241,212,144,1,628
come apart at the seams,"Desmoronar, desfazer-se.
","To crumble, to fall apart.
",46,41,315,448,571,558,242,2221
She is arranging flowers in a vase.,"Ela está arranjando flores em um vaso.
","She is arranging flowers in a vase.
",1,1,3,50,92,159,1,307
They went shopping for new clothes.,"Eles foram comprar roupas novas.
","They went to buy new clothes.
",22,41,113,364,241,218,32,1031
big league,"Liga principal
","Main League
",31,41,214,440,404,164,223,1517
She is packing her suitcase for a trip.,"Ela está arrumando a mala para uma viagem.
","She is packing her suitcase for a trip.
",1,1,4,36,116,267,1,426
She attended a conference last week.,"Ela participou de uma conferência na semana passada.
","She attended a conference last week.
",1,1,2,110,9,322,1,446
all that glitters is not gold,"Nem tudo que reluz é ouro.
","All that glitters is not gold.
",1,18,64,5,37,523,67,715
rain on your parade,"Estragar a sua alegria
","Ruin your joy
",41,41,270,503,547,556,317,2275
as stubborn as a mule,"Tão teimoso quanto uma mula.
","As stubborn as a mule.
",1,26,108,18,236,450,164,1003
fall on deaf ears,"Cair em ouvidos moucos
","To fall on deaf ears
",6,13,107,295,344,553,305,1623
She is preparing dinner for the guests.,"Ela está preparando o jantar para os convidados.
","She is preparing dinner for the guests.
",1,1,3,157,135,207,1,505
He is writing an essay for school.,"Ele está escrevendo uma redação para a escola.
","He is writing an essay for school.
",1,1,3,82,72,120,1,280
beating a dead horse,"Bater em cachorro morto
","To beat a dead horse
",23,41,125,381,435,561,160,1726
keep your eyes peeled,"Fique de olho.
","Keep an eye out.
",43,41,297,375,406,312,47,1521
He visited his grandmother in the hospital.,"Ele visitou sua avó no hospital.
","He visited his grandmother in the hospital.
",1,1,3,233,125,239,1,603
caught in the crossfire,"Pego no fogo cruzado
","Caught in the crossfire
",1,41,3,10,321,444,93,913
a blessing in disguise,"Uma bênção disfarçada.
","A blessing in disguise.
",1,41,131,47,239,247,1,707
bending over backwards,"Se esforçar ao máximo
","Try your best
",51,41,441,588,640,505,385,2651
He is drawing in his sketchbook.,"Ele está desenhando em seu caderno de esboços.
","He is drawing in his sketchbook.
",1,1,3,123,79,299,1,507
a new lease on life,"Uma nova chance
","A new chance
",31,41,245,485,467,39,41,1349
climbing the ladder,"Subindo a escada
","Going up the stairs
",41,41,220,419,454,224,4,1403
a rolling stone gathers no moss,"""Pedra que rola não cria limo.""
","A rolling stone gathers no moss.
",1,18,93,225,291,474,115,1217
better half,"Metade melhor
","Half better
",31,41,235,416,359,475,278,1835
He is eating dinner with his family.,"Ele está jantando com sua família.
","He is having dinner with his family.
",9,21,30,303,221,559,14,1157
in the bag,"Na mão
","In hand
",36,41,307,521,558,601,346,2410
dead as a doornail,"Morto como uma pedra.
","Dead as a stone.
",17,41,217,470,476,455,245,1921
She is playing with her children in the garden.,"Ela está brincando com seus filhos no jardim.
","She is playing with her children in the garden.
",1,1,3,229,143,63,1,441
I am playing video games in my room.,"Estou jogando videogame no meu quarto.
","I am playing video games in my room.
",1,1,3,80,16,57,32,190
cut to the chase,"Vá direto ao assunto.
","Get straight to the point.
",33,41,323,454,482,261,193,1787
cut the mustardcross that bridge when you come to it,"Cair na real quando a hora chegar.
","Face reality when the time comes.
",50,41,353,615,621,588,399,2667
She works as a software engineer.,"Ela trabalha como engenheira de software.
","She works as a software engineer.
",1,1,2,216,25,111,1,357
He is going to the post office.,"Ele vai aos correios.
","He goes to the post office.
",16,22,138,367,352,410,1,1306
bare your soul,"Abra sua alma
","Open your soul.
",22,41,199,407,369,333,113,1484
bad blood,"Mau sangue
","Bad blood
",1,41,4,270,186,648,22,1172
She is playing piano in the evening.,"Ela está tocando piano à noite.
","She is playing the piano at night.
",28,41,123,322,334,216,1,1065
go down in flames,"Ir pelos ares
","To go up in smoke
",33,41,207,487,469,634,296,2167
get your ducks in a row,"Organizar as coisas.
","Organize things.
",51,41,423,540,576,289,262,2182
They cleaned the house on Saturday.,"Eles limparam a casa no sábado.
","They cleaned the house on Saturday.
",1,1,2,58,102,243,1,408
at death's door,"À beira da morte
","On the brink of death
",44,41,293,424,488,435,110,1835
cut the mustard,"Dar conta do recado.
","To deliver the goods.
",41,41,350,647,674,600,389,2742
by the book,"À risca
","To the letter
",39,41,262,510,535,651,329,2367
She played cards with her friends.,"Ela jogou cartas com suas amigas.
","She played cards with her friends.
",1,1,3,242,83,96,1,427
an old flame,"Um antigo amor
","An old love
",22,41,187,476,425,19,77,1247
They are reading a novel by the fireplace.,"Eles estão lendo um romance perto da lareira.
","They are reading a novel near the fireplace.
",8,20,60,329,234,284,39,974
caught between a rock and a hard place,"Entre a cruz e a espada
","Between a rock and a hard place
",3,10,71,401,411,620,280,1796
a sinking ship,"Um navio afundando
","A sinking ship
",1,41,3,51,176,310,1,583
drive me up the wall,"Me tira do sério
","You drive me crazy.
",33,41,325,580,505,534,219,2237
I called my friend last night.,"Liguei para meu amigo ontem à noite.
","I called my friend last night.
",1,1,3,175,38,113,1,332
burn the candle at both ends,"Viver perigosamente
","Live dangerously
",51,41,451,657,658,181,339,2378
They are attending a concert tonight.,"Eles estão assistindo a um show esta noite.
","They are watching a show tonight.
",22,41,144,433,449,308,121,1518
bite the bullet,"Engolir o sapo
","To bite the bullet
",9,41,167,404,394,627,257,1899
chase your tail,"Correr atrás do próprio rabo
","Chasing your tail
",22,41,91,307,364,502,203,1530
cool as a cucumber,"Calmo como um pepino.
","Cool as a cucumber.
",1,41,69,170,362,152,1,796
don't put all your eggs in one basket,"Não coloque todos os ovos na mesma cesta.
","Don't put all your eggs in one basket.
",1,7,47,8,207,293,1,564
black as coal,"Preto como carvão.
","Black as coal.
",1,41,148,247,99,364,3,903
ants in your pants,"Bichos carpinteiros.
","Woodpeckers.
",51,41,444,650,688,641,359,2874
don't bite the hand that feeds you,"Não morda a mão que te alimenta.
","Don't bite the hand that feeds you.
",1,11,39,124,318,75,32,600
live to fight another day,"Viva para lutar outro dia.
","Live to fight another day.
",1,26,115,30,213,459,78,922
cat's meow,"O máximo
","The maximum
",51,41,454,656,594,423,379,2598
by the book,"À risca
","To the letter
",39,41,262,510,535,651,329,2367
by the skin of your teeth,"Por um triz
","By a hair
",45,41,286,644,670,645,387,2718
busy as a bee,"Ocupado como uma abelha.
","Busy as a bee.
",1,41,134,207,377,467,116,1343
calm before the storm,"Calmaria antes da tempestade
","Calm before the storm
",1,41,3,73,261,212,108,699
She visited the art gallery on Sunday.,"Ela visitou a galeria de arte no domingo.
","She visited the art gallery on Sunday.
",1,1,3,128,117,324,32,606
They went to a restaurant for dinner.,"Eles foram a um restaurante para jantar.
","They went to a restaurant for dinner.
",1,1,3,138,59,184,1,387
all thumbs,"Desajeitado
","Clumsy
",51,41,368,618,611,596,373,2658
She is dancing to the music.,"Ela está dançando ao som da música.
","She is dancing to the music.
",1,1,3,85,128,223,1,442
bend the rules,"Flexibilizar as regras
","To loosen the rules
",27,41,200,403,480,507,180,1838
bring to the table,"Trazer à tona
","To bring up
",41,41,335,607,620,638,313,2595
crash and burn,"Ir por água abaixo
","Go down the drain
",51,41,408,529,635,508,316,2488
They are playing chess at the table.,"Eles estão jogando xadrez na mesa.
","They are playing chess on the table.
",9,27,33,327,310,44,32,782
bare bones,"Essencial
","Essential
",51,41,393,646,512,210,259,2112
an uphill battle,"Uma batalha difícil
","A tough battle
",39,41,215,461,307,15,25,1103
cast a shadow,"Projetar uma sombra
","Casting a shadow
",22,41,37,290,378,564,59,1391
She is watching the stars at night.,"Ela está observando as estrelas à noite.
","She is watching the stars at night.
",1,1,3,65,91,428,1,590
don’t put all your eggs in one basket,"Não coloque todos os ovos na mesma cesta.
","Don't put all your eggs in one basket.
",1,7,130,105,217,294,1,755
face the music,"Arcar com as consequências
","Face the consequences
",22,41,221,564,478,268,75,1669
She is practicing yoga in the park.,"Ela está praticando ioga no parque.
","She is practicing yoga in the park.
",1,1,3,193,64,18,1,281
He made a sandwich for lunch.,"Ele fez um sanduíche para o almoço.
","He made a sandwich for lunch.
",1,1,4,184,31,240,1,462
hit the books,"Estudar muito
","Study hard
",51,41,356,567,515,205,204,1939
close shave,"Por um triz
","By a hair's breadth
",51,41,417,545,668,586,406,2714
a leopard can't change its spots,"Uma onça não muda suas manchas.
","A leopard can't change its spots.
",1,18,61,148,248,375,62,913
couch potato,"Batata de sofá
","Couch potato
",1,41,3,300,384,447,124,1300
She walked to the store.,"Ela caminhou para a loja.
","She walked to the store.
",1,1,3,52,130,248,1,436
like riding a bike,"Como andar de bicicleta
","How to ride a bike
",33,41,205,492,430,90,1,1292
They are playing volleyball at the beach.,"Eles estão jogando voleibol na praia.
","They are playing volleyball on the beach.
",9,27,14,299,193,84,1,627
He is playing soccer with his friends.,"Ele está jogando futebol com seus amigos.
","He is playing soccer with his friends.
",1,1,4,163,40,148,1,358
curiosity killed the cat,"A curiosidade matou o gato.
","Curiosity killed the cat.
",1,41,119,77,326,95,1,660
barking up the wrong tree,"Estar enganado
","To be mistaken
",51,41,377,512,682,516,358,2537
They are visiting the zoo.,"Eles estão visitando o zoológico.
","They are visiting the zoo.
",1,1,3,13,106,168,1,293
pull the plug,"Desligar o aparelho.
","Turn off the device.
",41,41,266,464,443,8,1,1264
beat a hasty retreat,"Bater em retirada.
","Fall back.
",51,41,348,498,596,655,322,2511
I went to the store to buy some bread.,"Eu fui à loja comprar pão.
","I went to the store to buy bread.
",2,8,15,332,225,77,1,660
butterflies in my stomach,"Borboletas no estômago
","Butterflies in the stomach
",17,41,195,324,410,571,40,1598
come up against a brick wall,"Bater contra uma parede.
","To hit a wall.
",36,41,247,463,475,363,303,1928
smooth sailing,"Mar calmo
","Calm sea
",51,41,222,456,507,10,44,1331
She is sending a letter to her friend.,"Ela está enviando uma carta para a amiga dela.
","She is sending a letter to her friend.
",1,1,2,71,146,94,1,316
He is checking his email.,"Ele está verificando seu e-mail.
","He is checking his email.
",1,1,3,19,21,170,1,216
an uphill battle,"Uma batalha difícil
","A tough battle
",39,41,215,461,308,16,25,1105
make waves,"Fazer sucesso
","Achieve success
",51,41,319,593,581,409,368,2362
bury the hatchet,"Enterrar as armas
","Bury the hatchet
",1,41,4,206,391,668,232,1543
as good as gold,"Excelente.
","Excellent.
",51,41,404,509,575,2,238,1820
She is putting on her shoes.,"Ela está calçando os sapatos.
","She is putting on her shoes.
",1,1,4,20,95,79,1,201
built like a tank,"Construído como um tanque
","Built like a tank
",1,41,5,202,277,62,1,589
hit the sack,"Cair na cama
","Fall into bed
",51,41,347,616,573,470,374,2472
burst your bubble,"Estragar a festa
","To spoil the party
",51,41,398,599,608,302,320,2319
He is going for a bike ride.,"Ele vai andar de bicicleta.
","He will ride a bike.
",31,41,191,465,405,367,61,1561
bite the dust,"Cair em desgraça
","To fall from grace
",51,41,364,638,616,551,318,2579
falling apart at the seams,"Desmoronando, se desfazendo.
","Crumbling, falling apart.
",31,41,256,439,517,511,225,2020
They are jogging through the park.,"Eles estão correndo no parque.
","They are running in the park.
",22,41,152,385,392,334,1,1327
backseat driver,"Chico-esperto
","Clever-chico
",51,41,389,672,689,628,361,2831
a blessing in disguise,"Uma bênção disfarçada
","A blessing in disguise
",1,41,3,133,197,222,1,598
back against the wall,"Encurralado
","Cornered
",51,41,447,636,633,605,335,2748
blue collar,"Operário
","Worker
",51,41,426,608,676,1,281,2084
kill two birds with one stone,"Matar dois coelhos com uma cajadada só.
","To kill two birds with one stone.
",4,11,137,352,346,518,165,1533
at the drop of a hat,"A qualquer momento
","Anytime
",51,41,437,614,661,101,367,2272
by a hair's breadth,"Por um triz
","By a hair's breadth
",1,41,3,304,341,586,270,1546
They are planning a trip to Europe.,"Eles estão planejando uma viagem para a Europa.
","They are planning a trip to Europe.
",1,1,3,197,48,147,1,398
big picture,"Visão geral
","Overview
",51,41,420,481,516,420,293,2222
beat around the bush,"Enrolar
","To roll
",51,41,357,653,649,646,401,2798
cast in stone,"Escrito em pedra
","Set in stone
",22,41,164,368,333,481,81,1490
They went to the supermarket yesterday.,"Eles foram ao supermercado ontem.
","They went to the supermarket yesterday.
",1,1,2,114,77,260,1,456
She cleaned the kitchen after dinner.,"Ela limpou a cozinha depois do jantar.
","She cleaned the kitchen after dinner.
",1,1,4,101,76,105,1,289
He traveled to Paris last year.,"Ele viajou para Paris no ano passado.
","He traveled to Paris last year.
",1,1,3,162,10,316,1,494
face like thunder,"Cara de poucos amigos.
","Mean-looking.
",51,41,434,508,632,671,363,2700
I am learning how to cook.,"Estou aprendendo a cozinhar.
","I'm learning to cook.
",18,41,128,255,264,48,1,755
She is wearing a red dress.,"Ela está vestindo um vestido vermelho.
","She is wearing a red dress.
",1,1,3,156,6,115,1,283
come rain or shine,"Chova ou faça sol.
","Rain or shine.
",9,41,211,431,342,488,36,1558
get the ball rolling,"Dar o pontapé inicial
","Kick things off
",51,41,326,606,540,625,286,2475
He went to the gym for a workout session.,"Ele foi à academia para uma sessão de treino.
","He went to the gym for a workout session.
",1,1,3,237,113,311,1,667
He is drinking tea in the morning.,"Ele está tomando chá de manhã.
","He is drinking tea in the morning.
",1,1,3,84,103,204,1,397
They enjoyed a family dinner together.,"Eles apreciaram um jantar em família juntos.
","They enjoyed a family dinner together.
",1,1,2,153,63,266,1,487
They are playing basketball in the yard.,"Eles estão jogando basquete no quintal.
","They are playing basketball in the backyard.
",9,9,41,313,260,93,1,726
"blood, sweat, and tears","Sangue, suor e lágrimas
","Blood, sweat, and tears
",1,5,3,205,8,80,1,303
flying high,"Voando alto
","Soaring high
",31,41,129,391,551,411,99,1653
bring home the bacon,"Ganhar o pão de cada dia.
","To earn a living.
",51,41,414,624,641,547,364,2682
give someone the cold shoulder,"Dar o desprezo a alguém
","To give someone the cold shoulder
",5,5,72,354,372,543,196,1547
bite your tongue,"Morda a língua
","Bite your tongue
",1,41,4,294,218,465,136,1159
all in a day's work,"Coisa de rotina.
","Routine thing.
",51,41,419,562,555,69,277,1974
eyes in the back of your head,"Olhos na nuca
","Eyes in the back of your head
",1,3,3,204,431,397,153,1192
He ate his breakfast quickly.,"Ele comeu o café da manhã rapidamente.
","He ate breakfast quickly.
",6,41,43,309,189,386,26,1000
back on your feet,"Recuperado
","Recovered
",51,41,453,430,521,309,279,2084
"blood, sweat, and tears","Sangue, suor e lágrimas
","Blood, sweat, and tears
",1,5,3,205,8,80,1,303
They are driving to the countryside.,"Eles estão indo para o campo.
","They are going to the countryside.
",10,28,126,343,350,337,1,1195
She cooked dinner for her family.,"Ela preparou o jantar para a família dela.
","She prepared dinner for her family.
",10,16,24,243,223,171,1,688
ace in the hole,"Trunfo na manga
","Ace in the hole
",1,41,3,275,426,498,145,1389
hard as nails,"Durão como unhas.
","Tough as nails.
",22,41,183,347,302,501,183,1579
kill two birds with one stone,"Matar dois coelhos com uma cajadada só.
","To kill two birds with one stone.
",4,11,137,352,346,518,165,1533
black and blue,"Roxo e preto
","Purple and black
",39,41,181,421,317,446,112,1557
how the cookie crumbles,"Assim são as coisas
","That's just how it is.
",47,41,384,632,574,185,209,2072
He played video games all evening.,"Ele jogou videogame a noite toda.
","He played video games all night.
",10,16,35,291,173,64,1,590
all bark and no bite,"Muita conversa e pouca ação.
","All talk, no action.
",33,41,236,600,451,286,234,1881
beef up,"Reforçar
","Strengthen
",51,41,421,582,667,458,353,2573
be on cloud nine,"Estar nas nuvens
","To be in the clouds
",44,41,283,471,523,570,302,2234
They traveled to the mountains for vacation.,"Eles viajaram para as montanhas para as férias.
","They traveled to the mountains for the holidays.
",13,19,77,330,258,424,1,1122
They went on a road trip last summer.,"Eles fizeram uma viagem de carro no verão passado.
","They took a road trip last summer.
",13,17,31,339,229,300,32,961
clear the air,"Esclarecer as coisas
","To clear things up
",41,41,374,446,525,471,92,1990
cat got your tongue,"O gato comeu sua língua?
","Cat got your tongue?
",1,41,154,285,381,538,176,1576
as busy as a bee,"Ocupado como uma abelha
","Busy as a bee
",6,41,158,389,440,466,198,1698
They are visiting their friends in the city.,"Eles estão visitando seus amigos na cidade.
","They are visiting their friends in the city.
",1,1,3,137,71,176,32,421
come out of your shell,"Saia da sua concha.
","Come out of your shell.
",1,26,116,83,227,380,139,972
a storm in a teacup,"Tempestade em copo d'água
","A storm in a teacup
",1,13,3,268,280,251,69,885
a tower of strength,"Uma torre de força
","A power tower
",27,41,233,480,458,9,85,1333
all's fair in love and war,"No amor e na guerra, vale tudo.
","All's fair in love and war.
",1,18,83,203,204,383,20,912
She is doing her hair in front of the mirror.,"Ela está fazendo o cabelo em frente ao espelho.
","She is doing her hair in front of the mirror.
",1,1,3,135,177,377,74,768
all the world's a stage,"O mundo inteiro é um palco.
","All the world's a stage.
",1,26,92,154,219,136,1,629
"if the shoe fits, wear it","Se a carapuça serve, use-a.
","If the shoe fits, wear it.
",1,11,79,15,289,674,182,1251
They have three children.,"Eles têm três filhos.
","They have three children.
",1,1,3,136,3,121,1,266
She is preparing for a job interview.,"Ela está se preparando para uma entrevista de emprego.
","She is preparing for a job interview.
",1,1,3,119,36,230,1,391
They had a barbecue in the backyard.,"Eles fizeram um churrasco no quintal.
","They had a barbecue in the backyard.
",1,1,3,143,97,193,32,470
bite the bullet,"Engolir o sapo
","To bite the bullet
",9,41,167,404,394,627,257,1899
They went hiking in the mountains.,"Eles foram fazer trilha nas montanhas.
","They went hiking in the mountains.
",1,1,3,210,94,178,1,488
keep your chin up,"Anime-se!
","Cheer up!
",39,41,416,565,529,623,254,2467
cut from the same cloth,"Da mesma laia.
","Of the same ilk.
",33,41,294,587,634,572,222,2383
full plate,"Prato cheio
","A full plate
",12,41,133,345,418,617,243,1809
alive and kicking,"Vivo e chutando
","Alive and kicking.
",1,41,150,185,262,478,102,1219
a place in the sun,"Um lugar ao sol
","A place in the sun
",1,13,4,192,183,219,1,613
They went to the zoo with the kids.,"Eles foram ao zoológico com as crianças.
","They went to the zoo with the children.
",8,6,13,321,243,117,1,709
I took a photo of the beautiful sunset.,"Tirei uma foto do belo pôr do sol.
","I took a picture of the beautiful sunset.
",8,20,10,311,242,298,1,890
bad egg,"Mau caráter
","Bad character
",31,41,204,590,496,622,229,2213
back to square one,"De volta à estaca zero
","Back to square one
",1,41,3,221,53,271,1,591
break the ice,"Quebrar o gelo
","Break the ice
",1,41,3,269,247,124,32,717
The train arrived at the station on time.,"O trem chegou à estação na hora.
","The train arrived at the station on time.
",1,1,3,68,56,61,1,191
She took a nap after lunch.,"Ela tirou uma soneca depois do almoço.
","She took a nap after lunch.
",1,1,3,195,27,421,1,649
He is watering the plants.,"Ele está regando as plantas.
","He is watering the plants.
",1,1,3,69,149,290,1,514
at the helm,"No comando
","In command
",51,41,318,398,552,603,264,2227
The dog is playing outside.,"O cachorro está brincando lá fora.
","The dog is playing outside.
",1,1,3,100,88,46,1,240
coming full circle,"Completando o ciclo
","Completing the cycle
",51,41,376,530,439,365,56,1858
hold your horses,"Calma aí
","Hold on.
",36,41,403,551,566,484,253,2334
as smooth as silk,"Macio como seda
","Silky smooth
",39,41,275,445,423,489,87,1799
a shot in the dark,"Um tiro no escuro
","A shot in the dark
",1,13,2,121,172,244,1,554
burst at the seams,"Transbordar
","To overflow
",51,41,320,526,663,599,383,2583
They went to a concert last night.,"Eles foram a um show ontem à noite.
","They went to a concert last night.
",1,1,3,176,35,229,1,446
cat got your tongue,"O gato comeu sua língua?
","Cat got your tongue?
",1,41,154,285,380,538,176,1575
They are having a discussion in the classroom.,"Eles estão tendo uma discussão na sala de aula.
","They are having a discussion in the classroom.
",1,1,3,151,50,220,32,458
behind the eight ball,"Enrascado(a)
","Stuck
",51,41,402,671,666,633,403,2867
She is painting a picture on the canvas.,"Ela está pintando um quadro na tela.
","She is painting a picture on the canvas.
",1,1,3,94,123,355,1,578
against the grain,"Contra a corrente.
","Against the current.
",22,41,255,560,446,414,157,1895
She is typing on her computer.,"Ela está digitando no computador dela.
","She is typing on her computer.
",1,1,1,27,28,194,1,253
left out in the cold,"Abandonado à própria sorte.
","Left to fend for themselves.
",46,41,372,474,660,612,250,2455
don't judge a book by its cover,"Não julgue um livro pela capa.
","Don't judge a book by its cover.
",1,11,53,24,195,21,1,306
bend over backward,"Se esforçar ao máximo.
","Try your best.
",51,41,429,542,669,486,354,2572
back to the grind,"De volta à labuta
","Back to the grind
",1,41,3,93,111,567,127,943
let sleeping dogs lie,"Deixe os mortos quietos.
","Leave the dead alone.
",51,41,342,571,565,208,155,1933
a snowball's chance in hell,"Mínima chance
","Slim chance
",43,41,373,621,591,635,321,2625
fighting a losing battle,"Lutar uma batalha perdida.
","To fight a losing battle.
",23,41,174,393,402,443,95,1571
a fish out of water,"Um peixe fora d'água
","A fish out of water
",1,13,3,61,184,41,1,304
hit the ground running,"Começar com o pé direito
","To start off on the right foot
",48,41,339,629,569,412,233,2271
heart of stone,"Coração de pedra
","Stone heart
",36,41,237,455,415,23,135,1342
He took a walk in the park.,"Ele deu um passeio no parque.
","He took a walk in the park.
",1,1,4,239,66,235,1,547
They are enjoying a cup of coffee together.,"Eles estão apreciando uma xícara de café juntos.
","They are enjoying a cup of coffee together.
",1,1,3,109,90,200,32,436
I made a cup of tea for myself.,"Eu fiz uma xícara de chá para mim.
","I made myself a cup of tea.
",13,35,74,388,253,76,1,840
cooking up a storm,"Cozinhando muito
","Cooking a lot
",27,41,288,527,490,462,294,2129
fall through the cracks,"Passar despercebido.
","To go unnoticed.
",51,41,380,497,605,537,323,2434
bend over backwards,"Se esforçar ao máximo
","Try your best.
",51,41,428,541,646,457,341,2505
dance with the devil,"Dance com o diabo.
","Dance with the devil.
",1,41,127,266,328,490,32,1285
dark horse,"Cavalo negro
","Black horse
",31,41,177,418,409,13,1,1090
She enjoys walking in the park.,"Ela gosta de caminhar no parque.
","She likes to walk in the park.
",25,38,95,346,283,116,1,904
go the extra mile,"Fazer um esforço extra
","Make an extra effort
",43,41,276,514,429,336,1,1640
He is looking out the window at the rain.,"Ele está olhando pela janela a chuva.
","He is looking at the rain through the window.
",22,41,85,400,314,427,7,1296
feeling under the weather,"Sentindo-se mal.
","Feeling bad.
",39,41,341,570,499,351,159,2000
bridge the gap,"Preencher a lacuna
","Fill in the blank
",41,41,298,610,582,485,170,2227
clear as crystal,"Claro como cristal
","Crystal clear
",36,41,257,423,276,104,114,1251
actions speak louder than words,"Ações falam mais alto que palavras.
","Actions speak louder than words.
",1,26,111,31,153,58,1,381
cutting corners,"Fazendo gambiarras
","Making makeshift fixes
",51,41,289,495,607,624,345,2452
cost an arm and a leg,"Custar os olhos da cara
","Cost an arm and a leg.
",1,18,80,28,343,670,156,1296
a far cry,"Uma grande diferença
","A big difference
",39,41,329,536,463,135,220,1763
carry the torch,"Passar o bastão
","Pass the baton
",39,41,223,577,518,382,150,1930
chew the fat,"Pôr a conversa em dia
","Catch up
",51,41,432,651,665,663,369,2872
at a snail's pace,"A passo de lesma
","At a snail's pace
",1,41,3,55,269,315,58,742
He is taking a nap on the couch.,"Ele está tirando uma soneca no sofá.
","He is taking a nap on the couch.
",1,1,3,59,57,374,48,543
dressed to kill,"Arrasando (no visual)
","Killing it (style-wise)
",51,41,379,583,638,672,366,2730
all in your head,"Tudo na sua cabeça
","It's all in your head
",12,13,190,331,271,27,1,845
He is writing a story for school.,"Ele está escrevendo uma história para a escola.
","He is writing a story for school.
",1,1,3,81,67,256,1,410
She painted a picture of a landscape.,"Ela pintou um quadro de uma paisagem.
","She painted a picture of a landscape.
",1,1,3,235,70,285,32,627
banging your head against a brick wall,"Bater a cabeça contra a parede.
","To beat one's head against a wall.
",30,41,216,435,438,318,89,1567
She is visiting her grandmother in the hospital.,"Ela está visitando sua avó no hospital.
","She is visiting her grandmother in the hospital.
",1,1,3,132,148,187,32,504
She had a meeting with her boss.,"Ela teve uma reunião com o chefe dela.
","She had a meeting with her boss.
",1,1,3,228,150,154,1,538
She is knitting a scarf for winter.,"Ela está tricotando um cachecol para o inverno.
","She is knitting a scarf for the winter.
",3,14,23,265,205,277,1,788
She took the train to the city.,"Ela pegou o trem para a cidade.
","She took the train to the city.
",1,1,3,145,151,128,10,439
break a leg,"Boa sorte!
","Good luck!
",51,41,455,670,622,177,173,2189
They are taking pictures in front of the monument.,"Eles estão tirando fotos em frente ao monumento.
","They are taking photos in front of the monument.
",7,15,7,263,164,236,32,724
They went for a walk in the park.,"Eles foram dar uma volta no parque.
","They went for a walk in the park.
",1,1,3,187,42,110,1,345
below the belt,"Abaixo da cintura
","Below the waist
",22,41,197,377,538,276,101,1552
caught red-handed,"De mãos dadas na massa.
","Hand in hand in the mix.
",51,41,424,603,671,540,386,2716
make a mountain out of a molehill,"Fazer tempestade em copo d'água.
","To make a mountain out of a molehill.
",3,7,117,317,330,662,310,1746
burning bridges,"Queimando pontes
","Burning bridges
",1,41,3,272,296,35,1,649
burn a hole in your pocket,"Esgotar o dinheiro.
","Run out of money.
",51,41,412,475,578,437,252,2246
He is waiting for the bus.,"Ele está esperando o ônibus.
","He is waiting for the bus.
",1,1,3,125,134,346,1,611
