frases_ingles,metrica,modelo,score
She is cleaning the kitchen after dinner.,ROUGE,marian,0.8571428571428571
She is cleaning the kitchen after dinner.,BLEU,marian,0.7013967267997694
She is cleaning the kitchen after dinner.,BERTSCORE,marian,0.9773120880126953
She is cleaning the kitchen after dinner.,BLEURT,marian,1.010233998298645
She is cleaning the kitchen after dinner.,COMET22,marian,0.9394331574440002
She is cleaning the kitchen after dinner.,KIWI-XL,marian,1.0651851892471313
She is cleaning the kitchen after dinner.,XCOMET-XL,marian,1.0
She is cleaning the kitchen after dinner.,ROUGE,meta,0.8571428571428571
She is cleaning the kitchen after dinner.,BLEU,meta,0.7013967267997694
She is cleaning the kitchen after dinner.,BERTSCORE,meta,0.9773120880126953
She is cleaning the kitchen after dinner.,BLEURT,meta,1.010233998298645
She is cleaning the kitchen after dinner.,COMET22,meta,0.9419753551483154
She is cleaning the kitchen after dinner.,KIWI-XL,meta,1.063104510307312
She is cleaning the kitchen after dinner.,XCOMET-XL,meta,1.0
She is cleaning the kitchen after dinner.,ROUGE,mistral,1.0
She is cleaning the kitchen after dinner.,BLEU,mistral,1.0
She is cleaning the kitchen after dinner.,BERTSCORE,mistral,1.0
She is cleaning the kitchen after dinner.,BLEURT,mistral,1.0943292379379272
She is cleaning the kitchen after dinner.,COMET22,mistral,0.97198885679245
She is cleaning the kitchen after dinner.,KIWI-XL,mistral,1.0465136766433716
She is cleaning the kitchen after dinner.,XCOMET-XL,mistral,1.0
She is cleaning the kitchen after dinner.,ROUGE,qwen,1.0
She is cleaning the kitchen after dinner.,BLEU,qwen,1.0
She is cleaning the kitchen after dinner.,BERTSCORE,qwen,1.0
She is cleaning the kitchen after dinner.,BLEURT,qwen,1.0943292379379272
She is cleaning the kitchen after dinner.,COMET22,qwen,0.9719887375831604
She is cleaning the kitchen after dinner.,KIWI-XL,qwen,1.0465136766433716
She is cleaning the kitchen after dinner.,XCOMET-XL,qwen,1.0
She is drinking water.,ROUGE,gemini,1.0
She is drinking water.,BLEU,gemini,1.0
She is drinking water.,BERTSCORE,gemini,1.0
She is drinking water.,BLEURT,gemini,1.0862797498703003
She is drinking water.,COMET22,gemini,0.984463632106781
She is drinking water.,KIWI-XL,gemini,1.0997576713562012
She is drinking water.,XCOMET-XL,gemini,1.0
She is drinking water.,ROUGE,gemma3,1.0
She is drinking water.,BLEU,gemma3,1.0
She is drinking water.,BERTSCORE,gemma3,1.0
She is drinking water.,BLEURT,gemma3,1.0862797498703003
She is drinking water.,COMET22,gemma3,0.984463632106781
She is drinking water.,KIWI-XL,gemma3,1.1115354299545288
She is drinking water.,XCOMET-XL,gemma3,1.0
She is drinking water.,ROUGE,gemmaX,0.75
She is drinking water.,BLEU,gemmaX,0.0
She is drinking water.,BERTSCORE,gemmaX,0.9520648717880249
She is drinking water.,BLEURT,gemmaX,0.9557290077209473
She is drinking water.,COMET22,gemmaX,0.9617290496826172
She is drinking water.,KIWI-XL,gemmaX,1.0956975221633911
She is drinking water.,XCOMET-XL,gemmaX,1.0
She is drinking water.,ROUGE,gpt,1.0
She is drinking water.,BLEU,gpt,1.0
She is drinking water.,BERTSCORE,gpt,1.0
She is drinking water.,BLEURT,gpt,1.0862797498703003
She is drinking water.,COMET22,gpt,0.984463632106781
She is drinking water.,KIWI-XL,gpt,1.1115353107452393
She is drinking water.,XCOMET-XL,gpt,1.0
She is drinking water.,ROUGE,llama,1.0
She is drinking water.,BLEU,llama,1.0
She is drinking water.,BERTSCORE,llama,1.0
She is drinking water.,BLEURT,llama,1.0862797498703003
She is drinking water.,COMET22,llama,0.984463632106781
She is drinking water.,KIWI-XL,llama,1.1115353107452393
She is drinking water.,XCOMET-XL,llama,1.0
She is drinking water.,ROUGE,marian,0.75
She is drinking water.,BLEU,marian,0.0
She is drinking water.,BERTSCORE,marian,0.9520648717880249
She is drinking water.,BLEURT,marian,0.9557290077209473
She is drinking water.,COMET22,marian,0.9588283896446228
She is drinking water.,KIWI-XL,marian,1.0681283473968506
She is drinking water.,XCOMET-XL,marian,1.0
She is drinking water.,ROUGE,meta,0.5714285714285715
She is drinking water.,BLEU,meta,0.0
She is drinking water.,BERTSCORE,meta,0.884992241859436
She is drinking water.,BLEURT,meta,-0.6290807127952576
She is drinking water.,COMET22,meta,0.8614455461502075
She is drinking water.,KIWI-XL,meta,0.9912987947463989
She is drinking water.,XCOMET-XL,meta,0.7810097932815552
She is drinking water.,ROUGE,mistral,1.0
She is drinking water.,BLEU,mistral,1.0
She is drinking water.,BERTSCORE,mistral,1.0
She is drinking water.,BLEURT,mistral,1.0862797498703003
She is drinking water.,COMET22,mistral,0.984463632106781
She is drinking water.,KIWI-XL,mistral,1.1115353107452393
She is drinking water.,XCOMET-XL,mistral,1.0
She is drinking water.,ROUGE,qwen,1.0
She is drinking water.,BLEU,qwen,1.0
She is drinking water.,BERTSCORE,qwen,1.0
She is drinking water.,BLEURT,qwen,1.0862797498703003
She is drinking water.,COMET22,qwen,0.9829952716827393
She is drinking water.,KIWI-XL,qwen,1.0761463642120361
She is drinking water.,XCOMET-XL,qwen,1.0
They are having coffee at the café.,ROUGE,gemini,0.8571428571428571
They are having coffee at the café.,BLEU,gemini,0.5946035575013605
They are having coffee at the café.,BERTSCORE,gemini,0.980829119682312
They are having coffee at the café.,BLEURT,gemini,0.9490269422531128
They are having coffee at the café.,COMET22,gemini,0.9380366802215576
They are having coffee at the café.,KIWI-XL,gemini,1.0827935934066772
They are having coffee at the café.,XCOMET-XL,gemini,1.0
They are having coffee at the café.,ROUGE,gemma3,0.8571428571428571
They are having coffee at the café.,BLEU,gemma3,0.7071067811865475
They are having coffee at the café.,BERTSCORE,gemma3,1.0
They are having coffee at the café.,BLEURT,gemma3,1.0799204111099243
They are having coffee at the café.,COMET22,gemma3,0.9631412625312805
They are having coffee at the café.,KIWI-XL,gemma3,1.0799330472946167
They are having coffee at the café.,XCOMET-XL,gemma3,1.0
They are having coffee at the café.,ROUGE,gemmaX,0.7142857142857143
They are having coffee at the café.,BLEU,gemmaX,0.37684991644924193
They are having coffee at the café.,BERTSCORE,gemmaX,0.9712249040603638
They are having coffee at the café.,BLEURT,gemmaX,1.037383794784546
They are having coffee at the café.,COMET22,gemmaX,0.9438958764076233
They are having coffee at the café.,KIWI-XL,gemmaX,1.0820504426956177
They are having coffee at the café.,XCOMET-XL,gemmaX,1.0
They are having coffee at the café.,ROUGE,gpt,1.0
They are having coffee at the café.,BLEU,gpt,1.0
They are having coffee at the café.,BERTSCORE,gpt,0.9999999403953552
They are having coffee at the café.,BLEURT,gpt,1.0799204111099243
They are having coffee at the café.,COMET22,gpt,0.9764923453330994
They are having coffee at the café.,KIWI-XL,gpt,1.0758098363876343
They are having coffee at the café.,XCOMET-XL,gpt,1.0
They are having coffee at the café.,ROUGE,llama,0.7999999999999999
They are having coffee at the café.,BLEU,llama,0.6104735835807844
They are having coffee at the café.,BERTSCORE,llama,0.9757852554321289
They are having coffee at the café.,BLEURT,llama,0.8798749446868896
They are having coffee at the café.,COMET22,llama,0.9347031712532043
They are having coffee at the café.,KIWI-XL,llama,1.0709799528121948
They are having coffee at the café.,XCOMET-XL,llama,1.0
They are having coffee at the café.,ROUGE,marian,0.6666666666666666
They are having coffee at the café.,BLEU,marian,0.3655552228545123
They are having coffee at the café.,BERTSCORE,marian,0.9494417905807495
They are having coffee at the café.,BLEURT,marian,0.8315498232841492
They are having coffee at the café.,COMET22,marian,0.9207586050033569
They are having coffee at the café.,KIWI-XL,marian,1.0252100229263306
They are having coffee at the café.,XCOMET-XL,marian,1.0
They are having coffee at the café.,ROUGE,meta,0.39999999999999997
They are having coffee at the café.,BLEU,meta,0.0
They are having coffee at the café.,BERTSCORE,meta,0.8927645087242126
They are having coffee at the café.,BLEURT,meta,0.6783467531204224
They are having coffee at the café.,COMET22,meta,0.8105135560035706
They are having coffee at the café.,KIWI-XL,meta,-0.10457978397607803
They are having coffee at the café.,XCOMET-XL,meta,0.9403537511825562
They are having coffee at the café.,ROUGE,mistral,1.0
They are having coffee at the café.,BLEU,mistral,1.0
They are having coffee at the café.,BERTSCORE,mistral,0.9999999403953552
They are having coffee at the café.,BLEURT,mistral,1.0799204111099243
They are having coffee at the café.,COMET22,mistral,0.9764923453330994
They are having coffee at the café.,KIWI-XL,mistral,1.0758097171783447
They are having coffee at the café.,XCOMET-XL,mistral,1.0
They are having coffee at the café.,ROUGE,qwen,0.7142857142857143
They are having coffee at the café.,BLEU,qwen,0.0
They are having coffee at the café.,BERTSCORE,qwen,0.9848599433898926
They are having coffee at the café.,BLEURT,qwen,0.8978391289710999
They are having coffee at the café.,COMET22,qwen,0.9278941750526428
They are having coffee at the café.,KIWI-XL,qwen,1.038943886756897
They are having coffee at the café.,XCOMET-XL,qwen,0.9912000298500061
They are visiting a museum this afternoon.,ROUGE,gemini,1.0
They are visiting a museum this afternoon.,BLEU,gemini,1.0
They are visiting a museum this afternoon.,BERTSCORE,gemini,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,gemini,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,gemini,0.9793164134025574
They are visiting a museum this afternoon.,KIWI-XL,gemini,1.0727109909057617
They are visiting a museum this afternoon.,XCOMET-XL,gemini,0.9912000298500061
They are visiting a museum this afternoon.,ROUGE,gemma3,1.0
They are visiting a museum this afternoon.,BLEU,gemma3,1.0
They are visiting a museum this afternoon.,BERTSCORE,gemma3,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,gemma3,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,gemma3,0.9793164134025574
They are visiting a museum this afternoon.,KIWI-XL,gemma3,1.0806716680526733
They are visiting a museum this afternoon.,XCOMET-XL,gemma3,1.0
They are visiting a museum this afternoon.,ROUGE,gemmaX,0.5714285714285714
They are visiting a museum this afternoon.,BLEU,gemmaX,0.0
They are visiting a museum this afternoon.,BERTSCORE,gemmaX,0.938900887966156
They are visiting a museum this afternoon.,BLEURT,gemmaX,0.8815920948982239
They are visiting a museum this afternoon.,COMET22,gemmaX,0.9428098797798157
They are visiting a museum this afternoon.,KIWI-XL,gemmaX,1.060786485671997
They are visiting a museum this afternoon.,XCOMET-XL,gemmaX,1.0
They are visiting a museum this afternoon.,ROUGE,gpt,1.0
They are visiting a museum this afternoon.,BLEU,gpt,1.0
They are visiting a museum this afternoon.,BERTSCORE,gpt,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,gpt,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,gpt,0.9793164134025574
They are visiting a museum this afternoon.,KIWI-XL,gpt,1.0806716680526733
They are visiting a museum this afternoon.,XCOMET-XL,gpt,1.0
They are visiting a museum this afternoon.,ROUGE,llama,0.7999999999999999
They are visiting a museum this afternoon.,BLEU,llama,0.5133450480401704
They are visiting a museum this afternoon.,BERTSCORE,llama,0.9588105082511902
They are visiting a museum this afternoon.,BLEURT,llama,0.7896039485931396
They are visiting a museum this afternoon.,COMET22,llama,0.9412090182304382
They are visiting a museum this afternoon.,KIWI-XL,llama,1.0358715057373047
They are visiting a museum this afternoon.,XCOMET-XL,llama,1.0
They are visiting a museum this afternoon.,ROUGE,marian,0.8571428571428571
They are visiting a museum this afternoon.,BLEU,marian,0.7013967267997694
They are visiting a museum this afternoon.,BERTSCORE,marian,0.9692118763923645
They are visiting a museum this afternoon.,BLEURT,marian,1.0320574045181274
They are visiting a museum this afternoon.,COMET22,marian,0.9532793760299683
They are visiting a museum this afternoon.,KIWI-XL,marian,1.0549087524414062
They are visiting a museum this afternoon.,XCOMET-XL,marian,1.0
They are visiting a museum this afternoon.,ROUGE,meta,1.0
They are visiting a museum this afternoon.,BLEU,meta,1.0
They are visiting a museum this afternoon.,BERTSCORE,meta,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,meta,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,meta,0.977230966091156
They are visiting a museum this afternoon.,KIWI-XL,meta,1.0698368549346924
They are visiting a museum this afternoon.,XCOMET-XL,meta,1.0
They are visiting a museum this afternoon.,ROUGE,mistral,1.0
They are visiting a museum this afternoon.,BLEU,mistral,1.0
They are visiting a museum this afternoon.,BERTSCORE,mistral,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,mistral,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,mistral,0.9793164134025574
They are visiting a museum this afternoon.,KIWI-XL,mistral,1.0806716680526733
They are visiting a museum this afternoon.,XCOMET-XL,mistral,1.0
They are visiting a museum this afternoon.,ROUGE,qwen,1.0
They are visiting a museum this afternoon.,BLEU,qwen,1.0
They are visiting a museum this afternoon.,BERTSCORE,qwen,0.9999999403953552
They are visiting a museum this afternoon.,BLEURT,qwen,1.0822181701660156
They are visiting a museum this afternoon.,COMET22,qwen,0.9793164134025574
They are visiting a museum this afternoon.,KIWI-XL,qwen,1.0806716680526733
They are visiting a museum this afternoon.,XCOMET-XL,qwen,1.0
They are swimming at the pool.,ROUGE,gemini,0.8333333333333334
They are swimming at the pool.,BLEU,gemini,0.0
They are swimming at the pool.,BERTSCORE,gemini,0.981438398361206
They are swimming at the pool.,BLEURT,gemini,0.9633241891860962
They are swimming at the pool.,COMET22,gemini,0.9542171359062195
They are swimming at the pool.,KIWI-XL,gemini,1.1050059795379639
They are swimming at the pool.,XCOMET-XL,gemini,1.0
They are swimming at the pool.,ROUGE,gemma3,0.8333333333333334
They are swimming at the pool.,BLEU,gemma3,0.0
They are swimming at the pool.,BERTSCORE,gemma3,0.981438398361206
They are swimming at the pool.,BLEURT,gemma3,0.9633241891860962
They are swimming at the pool.,COMET22,gemma3,0.9542171359062195
They are swimming at the pool.,KIWI-XL,gemma3,1.0878533124923706
They are swimming at the pool.,XCOMET-XL,gemma3,1.0
They are swimming at the pool.,ROUGE,gemmaX,0.6666666666666666
They are swimming at the pool.,BLEU,gemmaX,0.0
They are swimming at the pool.,BERTSCORE,gemmaX,0.9343897700309753
They are swimming at the pool.,BLEURT,gemmaX,0.9357263445854187
They are swimming at the pool.,COMET22,gemmaX,0.932388186454773
They are swimming at the pool.,KIWI-XL,gemmaX,1.098180890083313
They are swimming at the pool.,XCOMET-XL,gemmaX,1.0
They are swimming at the pool.,ROUGE,gpt,0.8333333333333334
They are swimming at the pool.,BLEU,gpt,0.0
They are swimming at the pool.,BERTSCORE,gpt,0.981438398361206
They are swimming at the pool.,BLEURT,gpt,0.9633241891860962
They are swimming at the pool.,COMET22,gpt,0.9542171359062195
They are swimming at the pool.,KIWI-XL,gpt,1.0878533124923706
They are swimming at the pool.,XCOMET-XL,gpt,1.0
They are swimming at the pool.,ROUGE,llama,0.8333333333333334
They are swimming at the pool.,BLEU,llama,0.0
They are swimming at the pool.,BERTSCORE,llama,0.981438398361206
They are swimming at the pool.,BLEURT,llama,0.9633241891860962
They are swimming at the pool.,COMET22,llama,0.9542171359062195
They are swimming at the pool.,KIWI-XL,llama,1.0878534317016602
They are swimming at the pool.,XCOMET-XL,llama,1.0
They are swimming at the pool.,ROUGE,marian,0.6666666666666666
They are swimming at the pool.,BLEU,marian,0.0
They are swimming at the pool.,BERTSCORE,marian,0.9343897700309753
They are swimming at the pool.,BLEURT,marian,0.9357263445854187
They are swimming at the pool.,COMET22,marian,0.9224273562431335
They are swimming at the pool.,KIWI-XL,marian,1.103192925453186
They are swimming at the pool.,XCOMET-XL,marian,1.0
They are swimming at the pool.,ROUGE,meta,0.6666666666666666
They are swimming at the pool.,BLEU,meta,0.0
They are swimming at the pool.,BERTSCORE,meta,0.9343897700309753
They are swimming at the pool.,BLEURT,meta,0.9357263445854187
They are swimming at the pool.,COMET22,meta,0.932388186454773
They are swimming at the pool.,KIWI-XL,meta,1.0981810092926025
They are swimming at the pool.,XCOMET-XL,meta,1.0
They are swimming at the pool.,ROUGE,mistral,0.8333333333333334
They are swimming at the pool.,BLEU,mistral,0.0
They are swimming at the pool.,BERTSCORE,mistral,0.981438398361206
They are swimming at the pool.,BLEURT,mistral,0.9633241891860962
They are swimming at the pool.,COMET22,mistral,0.9542171359062195
They are swimming at the pool.,KIWI-XL,mistral,1.0878533124923706
They are swimming at the pool.,XCOMET-XL,mistral,1.0
They are swimming at the pool.,ROUGE,qwen,0.8333333333333334
They are swimming at the pool.,BLEU,qwen,0.0
They are swimming at the pool.,BERTSCORE,qwen,0.981438398361206
They are swimming at the pool.,BLEURT,qwen,0.9633241891860962
They are swimming at the pool.,COMET22,qwen,0.9542171359062195
They are swimming at the pool.,KIWI-XL,qwen,1.0878534317016602
They are swimming at the pool.,XCOMET-XL,qwen,1.0
She is talking to her friend on the phone.,ROUGE,gemini,1.0
She is talking to her friend on the phone.,BLEU,gemini,1.0
She is talking to her friend on the phone.,BERTSCORE,gemini,1.0
She is talking to her friend on the phone.,BLEURT,gemini,1.069399356842041
She is talking to her friend on the phone.,COMET22,gemini,0.9738603234291077
She is talking to her friend on the phone.,KIWI-XL,gemini,1.1100146770477295
She is talking to her friend on the phone.,XCOMET-XL,gemini,0.9912000298500061
She is talking to her friend on the phone.,ROUGE,gemma3,0.8888888888888888
She is talking to her friend on the phone.,BLEU,gemma3,0.6580370064762462
She is talking to her friend on the phone.,BERTSCORE,gemma3,0.9740835428237915
She is talking to her friend on the phone.,BLEURT,gemma3,0.9434496164321899
She is talking to her friend on the phone.,COMET22,gemma3,0.9504597783088684
She is talking to her friend on the phone.,KIWI-XL,gemma3,1.1197370290756226
She is talking to her friend on the phone.,XCOMET-XL,gemma3,1.0
She is talking to her friend on the phone.,ROUGE,gemmaX,0.7777777777777778
She is talking to her friend on the phone.,BLEU,gemmaX,0.45936133207830593
She is talking to her friend on the phone.,BERTSCORE,gemmaX,0.9566000699996948
She is talking to her friend on the phone.,BLEURT,gemmaX,0.9165118932723999
She is talking to her friend on the phone.,COMET22,gemmaX,0.9347538948059082
She is talking to her friend on the phone.,KIWI-XL,gemmaX,1.1281726360321045
She is talking to her friend on the phone.,XCOMET-XL,gemmaX,1.0
She is talking to her friend on the phone.,ROUGE,gpt,1.0
She is talking to her friend on the phone.,BLEU,gpt,1.0
She is talking to her friend on the phone.,BERTSCORE,gpt,1.0
She is talking to her friend on the phone.,BLEURT,gpt,1.069399356842041
She is talking to her friend on the phone.,COMET22,gpt,0.9714134335517883
She is talking to her friend on the phone.,KIWI-XL,gpt,1.113664984703064
She is talking to her friend on the phone.,XCOMET-XL,gpt,1.0
She is talking to her friend on the phone.,ROUGE,llama,1.0
She is talking to her friend on the phone.,BLEU,llama,1.0
She is talking to her friend on the phone.,BERTSCORE,llama,1.0
She is talking to her friend on the phone.,BLEURT,llama,1.069399356842041
She is talking to her friend on the phone.,COMET22,llama,0.9710691571235657
She is talking to her friend on the phone.,KIWI-XL,llama,1.1159662008285522
She is talking to her friend on the phone.,XCOMET-XL,llama,1.0
She is talking to her friend on the phone.,ROUGE,marian,0.8888888888888888
She is talking to her friend on the phone.,BLEU,marian,0.7725505949016372
She is talking to her friend on the phone.,BERTSCORE,marian,0.9812910556793213
She is talking to her friend on the phone.,BLEURT,marian,1.0145138502120972
She is talking to her friend on the phone.,COMET22,marian,0.9481044411659241
She is talking to her friend on the phone.,KIWI-XL,marian,1.1187256574630737
She is talking to her friend on the phone.,XCOMET-XL,marian,1.0
She is talking to her friend on the phone.,ROUGE,meta,0.823529411764706
She is talking to her friend on the phone.,BLEU,meta,0.0
She is talking to her friend on the phone.,BERTSCORE,meta,0.925337553024292
She is talking to her friend on the phone.,BLEURT,meta,0.4995236098766327
She is talking to her friend on the phone.,COMET22,meta,0.8749139904975891
She is talking to her friend on the phone.,KIWI-XL,meta,0.3242354393005371
She is talking to her friend on the phone.,XCOMET-XL,meta,0.878354549407959
She is talking to her friend on the phone.,ROUGE,mistral,0.8888888888888888
She is talking to her friend on the phone.,BLEU,mistral,0.6580370064762462
She is talking to her friend on the phone.,BERTSCORE,mistral,0.974286675453186
She is talking to her friend on the phone.,BLEURT,mistral,0.9174575805664062
She is talking to her friend on the phone.,COMET22,mistral,0.9386470913887024
She is talking to her friend on the phone.,KIWI-XL,mistral,1.079513669013977
She is talking to her friend on the phone.,XCOMET-XL,mistral,0.9912000298500061
She is talking to her friend on the phone.,ROUGE,qwen,0.8888888888888888
She is talking to her friend on the phone.,BLEU,qwen,0.8801117367933934
She is talking to her friend on the phone.,BERTSCORE,qwen,0.9545371532440186
She is talking to her friend on the phone.,BLEURT,qwen,0.7686769962310791
She is talking to her friend on the phone.,COMET22,qwen,0.9003710150718689
She is talking to her friend on the phone.,KIWI-XL,qwen,1.050414800643921
She is talking to her friend on the phone.,XCOMET-XL,qwen,0.9240798354148865
He is walking his dog in the park.,ROUGE,gemini,0.875
He is walking his dog in the park.,BLEU,gemini,0.5969491792019646
He is walking his dog in the park.,BERTSCORE,gemini,0.9725565314292908
He is walking his dog in the park.,BLEURT,gemini,0.6908596754074097
He is walking his dog in the park.,COMET22,gemini,0.9223152995109558
He is walking his dog in the park.,KIWI-XL,gemini,1.0379211902618408
He is walking his dog in the park.,XCOMET-XL,gemini,1.0
He is walking his dog in the park.,ROUGE,gemma3,1.0
He is walking his dog in the park.,BLEU,gemma3,1.0
He is walking his dog in the park.,BERTSCORE,gemma3,1.0
He is walking his dog in the park.,BLEURT,gemma3,1.0785661935806274
He is walking his dog in the park.,COMET22,gemma3,0.9731230139732361
He is walking his dog in the park.,KIWI-XL,gemma3,1.029577374458313
He is walking his dog in the park.,XCOMET-XL,gemma3,1.0
He is walking his dog in the park.,ROUGE,gemmaX,0.875
He is walking his dog in the park.,BLEU,gemmaX,0.7420884818558928
He is walking his dog in the park.,BERTSCORE,gemmaX,0.9585474729537964
He is walking his dog in the park.,BLEURT,gemmaX,1.002362608909607
He is walking his dog in the park.,COMET22,gemmaX,0.9497378468513489
He is walking his dog in the park.,KIWI-XL,gemmaX,1.0330283641815186
He is walking his dog in the park.,XCOMET-XL,gemmaX,1.0
He is walking his dog in the park.,ROUGE,gpt,1.0
He is walking his dog in the park.,BLEU,gpt,1.0
He is walking his dog in the park.,BERTSCORE,gpt,1.0
He is walking his dog in the park.,BLEURT,gpt,1.0785661935806274
He is walking his dog in the park.,COMET22,gpt,0.9731230139732361
He is walking his dog in the park.,KIWI-XL,gpt,1.029577374458313
He is walking his dog in the park.,XCOMET-XL,gpt,1.0
He is walking his dog in the park.,ROUGE,llama,0.7368421052631579
He is walking his dog in the park.,BLEU,llama,0.46924700641055994
He is walking his dog in the park.,BERTSCORE,llama,0.9538742303848267
He is walking his dog in the park.,BLEURT,llama,0.8935452699661255
He is walking his dog in the park.,COMET22,llama,0.9300724267959595
He is walking his dog in the park.,KIWI-XL,llama,1.0471466779708862
He is walking his dog in the park.,XCOMET-XL,llama,1.0
He is walking his dog in the park.,ROUGE,marian,0.875
He is walking his dog in the park.,BLEU,marian,0.7420884818558928
He is walking his dog in the park.,BERTSCORE,marian,0.9585474729537964
He is walking his dog in the park.,BLEURT,marian,1.002362608909607
He is walking his dog in the park.,COMET22,marian,0.9389244914054871
He is walking his dog in the park.,KIWI-XL,marian,1.0564526319503784
He is walking his dog in the park.,XCOMET-XL,marian,1.0
He is walking his dog in the park.,ROUGE,meta,1.0
He is walking his dog in the park.,BLEU,meta,1.0
He is walking his dog in the park.,BERTSCORE,meta,1.0
He is walking his dog in the park.,BLEURT,meta,1.0785661935806274
He is walking his dog in the park.,COMET22,meta,0.9694708585739136
He is walking his dog in the park.,KIWI-XL,meta,1.0411436557769775
He is walking his dog in the park.,XCOMET-XL,meta,1.0
He is walking his dog in the park.,ROUGE,mistral,0.9411764705882353
He is walking his dog in the park.,BLEU,mistral,0.6580370064762462
He is walking his dog in the park.,BERTSCORE,mistral,0.9809321165084839
He is walking his dog in the park.,BLEURT,mistral,0.9733147621154785
He is walking his dog in the park.,COMET22,mistral,0.9502835273742676
He is walking his dog in the park.,KIWI-XL,mistral,1.034927487373352
He is walking his dog in the park.,XCOMET-XL,mistral,0.9912000298500061
He is walking his dog in the park.,ROUGE,qwen,0.9411764705882353
He is walking his dog in the park.,BLEU,qwen,0.6580370064762462
He is walking his dog in the park.,BERTSCORE,qwen,0.9809321165084839
He is walking his dog in the park.,BLEURT,qwen,0.9733147621154785
He is walking his dog in the park.,COMET22,qwen,0.9510284066200256
He is walking his dog in the park.,KIWI-XL,qwen,1.0485128164291382
He is walking his dog in the park.,XCOMET-XL,qwen,0.9912000298500061
He washed his car yesterday.,ROUGE,gemini,1.0
He washed his car yesterday.,BLEU,gemini,1.0
He washed his car yesterday.,BERTSCORE,gemini,1.0
He washed his car yesterday.,BLEURT,gemini,1.0791690349578857
He washed his car yesterday.,COMET22,gemini,0.9817414283752441
He washed his car yesterday.,KIWI-XL,gemini,1.0728662014007568
He washed his car yesterday.,XCOMET-XL,gemini,1.0
He washed his car yesterday.,ROUGE,gemma3,0.8000000000000002
He washed his car yesterday.,BLEU,gemma3,0.0
He washed his car yesterday.,BERTSCORE,gemma3,0.9649986624717712
He washed his car yesterday.,BLEURT,gemma3,0.9211161136627197
He washed his car yesterday.,COMET22,gemma3,0.9392293095588684
He washed his car yesterday.,KIWI-XL,gemma3,1.04625403881073
He washed his car yesterday.,XCOMET-XL,gemma3,1.0
He washed his car yesterday.,ROUGE,gemmaX,1.0
He washed his car yesterday.,BLEU,gemmaX,1.0
He washed his car yesterday.,BERTSCORE,gemmaX,1.0
He washed his car yesterday.,BLEURT,gemmaX,1.0791690349578857
He washed his car yesterday.,COMET22,gemmaX,0.9830175638198853
He washed his car yesterday.,KIWI-XL,gemmaX,1.0361069440841675
He washed his car yesterday.,XCOMET-XL,gemmaX,1.0
He washed his car yesterday.,ROUGE,gpt,1.0
He washed his car yesterday.,BLEU,gpt,1.0
He washed his car yesterday.,BERTSCORE,gpt,1.0
He washed his car yesterday.,BLEURT,gpt,1.0791690349578857
He washed his car yesterday.,COMET22,gpt,0.9817414283752441
He washed his car yesterday.,KIWI-XL,gpt,1.0410982370376587
He washed his car yesterday.,XCOMET-XL,gpt,1.0
He washed his car yesterday.,ROUGE,llama,1.0
He washed his car yesterday.,BLEU,llama,1.0
He washed his car yesterday.,BERTSCORE,llama,1.0
He washed his car yesterday.,BLEURT,llama,1.0791690349578857
He washed his car yesterday.,COMET22,llama,0.9822723865509033
He washed his car yesterday.,KIWI-XL,llama,1.032213568687439
He washed his car yesterday.,XCOMET-XL,llama,1.0
He washed his car yesterday.,ROUGE,marian,0.8000000000000002
He washed his car yesterday.,BLEU,marian,0.0
He washed his car yesterday.,BERTSCORE,marian,0.9649986624717712
He washed his car yesterday.,BLEURT,marian,0.9211161136627197
He washed his car yesterday.,COMET22,marian,0.9392293095588684
He washed his car yesterday.,KIWI-XL,marian,1.04625403881073
He washed his car yesterday.,XCOMET-XL,marian,1.0
He washed his car yesterday.,ROUGE,meta,0.7272727272727272
He washed his car yesterday.,BLEU,meta,0.4347208719449915
He washed his car yesterday.,BERTSCORE,meta,0.9588834047317505
He washed his car yesterday.,BLEURT,meta,0.7528131604194641
He washed his car yesterday.,COMET22,meta,0.9206873774528503
He washed his car yesterday.,KIWI-XL,meta,0.9085315465927124
He washed his car yesterday.,XCOMET-XL,meta,0.9912000298500061
He washed his car yesterday.,ROUGE,mistral,1.0
He washed his car yesterday.,BLEU,mistral,1.0
He washed his car yesterday.,BERTSCORE,mistral,1.0
He washed his car yesterday.,BLEURT,mistral,1.0791690349578857
He washed his car yesterday.,COMET22,mistral,0.9830176830291748
He washed his car yesterday.,KIWI-XL,mistral,1.0361069440841675
He washed his car yesterday.,XCOMET-XL,mistral,1.0
He washed his car yesterday.,ROUGE,qwen,1.0
He washed his car yesterday.,BLEU,qwen,1.0
He washed his car yesterday.,BERTSCORE,qwen,1.0
He washed his car yesterday.,BLEURT,qwen,1.0791690349578857
