indice,ingles_original,portugues_traduzido,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
285,He is working on his laptop.,"Ele está trabalhando em seu laptop.
",gemini,prompt2,1.0153,1.0,0.9852835536003112,1.060614824295044,Q2,dataset_final,
285,He is working on his laptop.,"Ele está teclando no seu cérebro.
",gemini,prompt4,0.6079,0.7388665676116943,0.5574174523353577,0.5274487733840942,Q2,parascore,0.9052
285,He is working on his laptop.,Ele está debruçado sobre o teclado.,gemma3,prompt4,0.4268,0.531872034072876,0.4603443443775177,0.28817734122276306,Q2,parascore,0.9021
288,She had a cup of soup for lunch.,Ela teve uma xícara de sopa no almoço.,gpt,prompt2,1.0011,1.0,0.9331123232841492,1.0702719688415527,Q2,parascore,0.9561
288,She had a cup of soup for lunch.,Ela teve um prato de sopa no almoço.,gpt,prompt4,0.9265,0.9970918893814087,0.937809944152832,0.8447248935699463,Q2,parascore,0.9643
288,She had a cup of soup for lunch.,"Ela comeu uma xícara de sopa no almoço.
",gemini,prompt2,0.9825,1.0,0.9251682162284851,1.0223661661148071,Q2,parascore,0.9459
288,She had a cup of soup for lunch.,"Ela almoçou uma caneca de sopa.
",gemini,prompt4,0.321,0.3493843376636505,0.4449349641799927,0.1685798466205597,Q2,parascore,0.9597
288,She had a cup of soup for lunch.,Ela tomou uma sopa no almoço.,gemma3,prompt2,1.0082,1.0,0.9228037595748901,1.1018389463424683,Q2,parascore,0.9892
288,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,gemmaX,sem_prompt,1.0087,1.0,0.9686071872711182,1.057511329650879,Q2,dataset_final,
292,They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,gpt,prompt2,1.0214,1.0,0.9730553030967712,1.0910602807998655,Q1,dataset_final,
292,They are painting the walls of their house.,Eles estão colorindo as paredes de sua casa.,gpt,prompt4,0.9452,1.0,0.9737724661827087,0.8619391918182373,Q1,parascore,0.9867
292,They are painting the walls of their house.,"Eles estão dando cor à vida da casa.
",gemini,prompt4,0.7767,0.8639395236968994,0.6915385127067566,0.7746025323867798,Q1,parascore,0.948
292,They are painting the walls of their house.,"Eles estão pintando as paredes de sua casa.
",gemma3,prompt2,1.012,1.0,0.9746535420417786,1.0612415075302124,Q1,parascore,0.969
292,They are painting the walls of their house.,Eles estão vestindo as paredes de sua casa com cor.,gemma3,prompt4,0.8601,0.9698872566223145,0.824505627155304,0.7858383059501648,Q1,parascore,0.9558
292,They are painting the walls of their house.,Estão a pintar as paredes da sua casa.,gemmaX,sem_prompt,0.9456,0.9912000298500061,0.8142428398132324,1.03145170211792,Q1,parascore,0.9325
294,The sun rises in the east.,O sol nasce no Oriente.,gpt,prompt4,0.9284,1.0,0.9406867623329163,0.8445481657981873,Q1,parascore,0.9503
294,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,1.0266,1.0,0.9789478182792664,1.1008963584899902,Q1,dataset_final,
294,The sun rises in the east.,"O sol desponta no oriente.
",gemini,prompt4,0.7063,0.8255963325500488,0.7329246401786804,0.5602372288703918,Q1,parascore,0.918
306,She is arranging flowers in a vase.,Ela está arrumando flores em um vaso.,gpt,prompt2,1.0115,1.0,0.9725625514984131,1.0619664192199707,Q2,parascore,0.9471
306,She is arranging flowers in a vase.,Ela está organizando flores em um vaso.,gpt,prompt4,0.9462,0.9967577457427979,0.9770742058753967,0.8647744655609131,Q2,parascore,0.9524
306,She is arranging flowers in a vase.,"Ela está lapidando a beleza.
",gemini,prompt4,0.5439,0.6500152349472046,0.48420217633247375,0.4973551034927368,Q2,parascore,0.9418
306,She is arranging flowers in a vase.,Ela está arranjando flores em um vaso.,gemma3,prompt2,1.0152,1.0,0.9756184816360474,1.070077896118164,Q2,dataset_final,
306,She is arranging flowers in a vase.,Ela está tecendo vida em um receptáculo.,gemma3,prompt4,0.5831,0.6805675029754639,0.4319685995578766,0.636737585067749,Q2,parascore,0.9122
307,They went shopping for new clothes.,Eles foram às compras por roupas novas.,gpt,prompt2,1.0022,1.0,0.9845024347305298,1.022209644317627,Q2,parascore,0.952
307,They went shopping for new clothes.,Eles foram às compras por novas roupas.,gpt,prompt4,0.6135,0.7081571817398071,0.772150993347168,0.36033210158348083,Q2,parascore,0.9754
307,They went shopping for new clothes.,"Eles foram comprar roupas novas.
",gemini,prompt2,0.9935,0.9912000298500061,0.9480103850364685,1.0411943197250366,Q2,parascore,0.9715
307,They went shopping for new clothes.,"Foram às compras para trocar de pele.
",gemini,prompt4,0.4379,0.5655013918876648,0.4867542088031769,0.2614378035068512,Q2,parascore,0.9167
307,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,gemma3,prompt2,1.014,1.0,0.985390603542328,1.0564602613449097,Q2,dataset_final,
316,He is writing an essay for school.,Ele está escrevendo um ensaio para a escola.,gpt,prompt2,1.0202,1.0,0.9762236475944519,1.0842716693878174,Q1,parascore,0.9558
316,He is writing an essay for school.,"Ele está botando as tripas no papel.
",gemini,prompt4,0.4962,0.7447615265846252,0.438143253326416,0.30572593212127686,Q1,parascore,0.9303
316,He is writing an essay for school.,Ele está escrevendo uma redação para a escola.,gemma3,prompt2,1.0211,1.0,0.9771533012390136,1.0862244367599487,Q1,dataset_final,
316,He is writing an essay for school.,"Ele está tecendo palavras para a escola.
",gemma3,prompt4,0.6888,0.8508955240249634,0.5681033730506897,0.6473582983016968,Q1,parascore,0.945
331,She is playing with her children in the garden.,Ela está brincando com os filhos no jardim.,gpt,prompt2,0.988,1.0,0.9356833100318909,1.028455138206482,Q1,parascore,0.9525
331,She is playing with her children in the garden.,"Ela está brincando com seus filhos no jardim.
",gemini,prompt2,1.0218,1.0,0.9712027311325072,1.0940836668014526,Q1,dataset_final,
331,She is playing with her children in the garden.,"Ela brinca com os filhos no jardim, tecendo a vida.
",gemini,prompt4,0.702,0.8553386926651001,0.6550253629684448,0.5955935716629028,Q1,parascore,0.9443
331,She is playing with her children in the garden.,"Ela tece sorrisos no jardim, embalada pelos seus filhos.",gemma3,prompt4,0.5818,0.773140549659729,0.48581355810165405,0.4864194393157959,Q1,parascore,0.9339
332,I am playing video games in my room.,Estou jogando videogames no meu quarto.,gpt,prompt2,1.0216,1.0,0.9640899300575256,1.1007957458496094,Q1,parascore,0.951
332,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,1.0278,0.991200029850006,0.9818645119667052,1.1102582216262815,Q1,dataset_final,
332,I am playing video games in my room.,"Estou navegando em mundos virtuais no meu refúgio.
",gemini,prompt4,0.5691,0.6276389360427856,0.4258553087711334,0.6539117097854614,Q1,parascore,0.9168
332,I am playing video games in my room.,"Estou jogando videogame no meu quarto.
",gemma3,prompt2,1.0201,1.0,0.9639408588409424,1.0964545011520386,Q1,parascore,0.9497
332,I am playing video games in my room.,Estou me perdendo em pixels no meu quarto.,gemma3,prompt4,0.7439,0.9028196334838867,0.5462688207626343,0.7827445268630981,Q1,parascore,0.944
335,She works as a software engineer.,Ela atua como engenheira de software.,gpt,prompt4,0.8862,0.9912000298500061,0.8843871355056763,0.783151388168335,Q2,parascore,0.9595
335,She works as a software engineer.,"Ela trabalha como engenheira de software.
",gemini,prompt2,1.0175,1.0,0.9809526205062866,1.0714499950408936,Q2,dataset_final,
342,They cleaned the house on Saturday.,Eles deram uma geral na casa no sábado.,gpt,prompt4,0.8791,0.977494478225708,0.8675180077552795,0.7923821210861206,Q2,parascore,0.9563
342,They cleaned the house on Saturday.,"Eles colocaram a casa nos eixos no sábado.
",gemini,prompt4,0.5453,0.7978750467300415,0.5059874653816223,0.3318883180618286,Q2,parascore,0.9487
342,They cleaned the house on Saturday.,Eles limparam a casa no sábado.,gemma3,prompt2,1.0077,1.0,0.9746971726417542,1.048293948173523,Q2,dataset_final,
342,They cleaned the house on Saturday.,Deixaram a casa brilhando no sábado.,gemma3,prompt4,0.4099,0.5189080834388733,0.4700423777103424,0.24083465337753296,Q2,parascore,0.9405
342,They cleaned the house on Saturday.,Limparam a casa no sábado.,gemmaX,sem_prompt,0.8948,0.9987506866455078,0.9719279408454895,0.7138581275939941,Q2,parascore,0.9138
346,She played cards with her friends.,Ela jogou cartas com os amigos.,gpt,prompt2,1.0006,1.0,0.9756167531013489,1.0263237953186035,Q2,parascore,0.9697
346,She played cards with her friends.,Ela jogou na sorte com suas amigas.,gpt,prompt4,0.5762,0.6076891422271729,0.47224268317222595,0.6486592292785645,Q2,parascore,0.9641
346,She played cards with her friends.,"Ela jogou cartas com as amigas dela.
",gemini,prompt2,1.014,1.0,0.9768989682197572,1.0651321411132812,Q2,dataset_final,
346,She played cards with her friends.,"Ela jogou cartas com as amigas.
",gemini,prompt4,0.9022,0.9863907694816589,0.9274621605873108,0.7926853895187378,Q2,parascore,0.9734
346,She played cards with her friends.,Ela jogou cartas com seus amigos.,gemma3,prompt2,0.9992,1.0,0.9764450192451477,1.0210076570510864,Q2,parascore,0.9695
346,She played cards with her friends.,Ela passou a tarde se divertindo com as cartas e as amigas.,gemma3,prompt4,0.4427,0.5359365344047546,0.4867965877056122,0.30551618337631226,Q2,parascore,0.9401
346,She played cards with her friends.,Ela jogava cartas com seus amigos.,gemmaX,sem_prompt,1.002,1.0,0.9759555459022522,1.0300366878509521,Q2,parascore,0.9732
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,gpt,prompt2,1.0243,1.0,0.9790841341018676,1.0937572717666626,Q1,dataset_final,
352,I called my friend last night.,Eu liguei para meu amigo ontem à noite.,gpt,prompt4,0.9253,1.0,0.9007050395011902,0.8752481937408447,Q1,parascore,0.9926
352,I called my friend last night.,"Liguei para meu amigo ontem à noite.
",gemini,prompt2,1.017,1.0,0.9798722863197327,1.0710784196853638,Q1,parascore,0.9844
352,I called my friend last night.,"Liguei para o meu amigo ontem à noite.
",gemini,prompt4,0.7487,0.9718897342681885,0.6003649830818176,0.6739111542701721,Q1,parascore,0.9878
352,I called my friend last night.,"Estiquei o fio da noite até o meu amigo.
",gemma3,prompt4,0.4803,0.6999138593673706,0.5406595468521118,0.20039469003677368,Q1,parascore,0.938
352,I called my friend last night.,Eu liguei para o meu amigo ontem à noite.,gemmaX,sem_prompt,1.0159,1.0,0.9791956543922424,1.0685255527496338,Q1,parascore,0.9879
368,She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,gpt,prompt2,1.0188,1.0,0.9734659194946288,1.0828834772109983,Q1,dataset_final,
368,She visited the art gallery on Sunday.,"Ela passeou pelos quadros no domingo.
",gemini,prompt4,0.5818,0.7760717868804932,0.7017564177513123,0.2677093744277954,Q1,parascore,0.9476
368,She visited the art gallery on Sunday.,Ela passeou pelo templo das cores no domingo.,gemma3,prompt4,0.5475,0.6592099070549011,0.4914458096027374,0.49172186851501465,Q1,parascore,0.9414
369,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,gpt,prompt2,1.0147,1.0,0.977888822555542,1.0661052465438845,Q2,dataset_final,
369,They went to a restaurant for dinner.,Eles foram a um restaurante para jantar.,gpt,prompt4,0.7972,0.9339315891265869,0.7654810547828674,0.6920387744903564,Q2,parascore,0.9553
375,They are playing chess at the table.,Eles estão jogando xadrez na mesa.,gpt,prompt2,1.02,1.0,0.9704439043998718,1.089635729789734,Q1,dataset_final,
375,They are playing chess at the table.,Eles estão jogando xadrez à mesa.,gpt,prompt4,0.9446,0.997654914855957,0.9688882827758789,0.8671935796737671,Q1,parascore,0.9386
375,They are playing chess at the table.,"Estão jogando xadrez na mesa.
",gemini,prompt4,0.8765,0.9911583662033081,0.8811032176017761,0.757304310798645,Q1,parascore,0.9431
375,They are playing chess at the table.,"Eles estão travando uma batalha de estratégia à mesa.
",gemma3,prompt4,0.7411,0.9318483471870422,0.5689620971679688,0.722442626953125,Q1,parascore,0.9254
375,They are playing chess at the table.,Estão a jogar xadrez na mesa.,gemmaX,sem_prompt,1.0012,1.0,0.9055947661399841,1.0981076955795288,Q1,parascore,0.9425
382,She is practicing yoga in the park.,Ela está praticando yoga no parque.,gpt,prompt2,1.0268,1.0,0.9785241484642029,1.1017895936965942,Q1,parascore,0.9343
382,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,1.0337,1.0,0.97788268327713,1.1230729818344116,Q1,dataset_final,
382,She is practicing yoga in the park.,"Ela está se alongando com a natureza.
",gemini,prompt4,0.5883,0.7476820945739746,0.597129762172699,0.41998904943466187,Q1,parascore,0.9301
382,She is practicing yoga in the park.,Ela está desdobrando a alma no parque.,gemma3,prompt4,0.6469,0.7745324969291687,0.5427953600883484,0.6233434081077576,Q1,parascore,0.9291
390,They are playing volleyball at the beach.,Eles estão se divertindo na areia.,gpt,prompt4,0.8498,0.9478144645690918,0.7580245137214661,0.8436346054077148,Q1,parascore,0.9415
390,They are playing volleyball at the beach.,"Eles estão jogando vôlei na praia.
",gemini,prompt2,1.0183,1.0,0.9588100910186768,1.0959702730178833,Q1,dataset_final,
390,They are playing volleyball at the beach.,"Estão sacando alegrias na areia.
",gemini,prompt4,0.6394,0.686939001083374,0.5317543148994446,0.699425220489502,Q1,parascore,0.906
390,They are playing volleyball at the beach.,"Eles estão se divertindo na areia, buscando o ponto.",gemma3,prompt4,0.3826,0.5719701051712036,0.42280277609825134,0.153080016374588,Q1,parascore,0.917
391,He is playing soccer with his friends.,Ele está jogando futebol com seus amigos.,gpt,prompt2,1.0007,1.0,0.979691207408905,1.0224627256393433,Q2,parascore,0.9671
391,He is playing soccer with his friends.,Ele está jogando bola com os amigos.,gpt,prompt4,0.7628,0.9727400541305542,0.7525439858436584,0.5630298256874084,Q2,parascore,0.9791
391,He is playing soccer with his friends.,"Ele está jogando futebol com os amigos dele.
",gemini,prompt2,1.0095,1.0,0.9793084859848022,1.0491933822631836,Q2,dataset_final,
391,He is playing soccer with his friends.,"Ele está em campo com os amigos.
",gemini,prompt4,0.781,0.9462956190109253,0.646881103515625,0.7497130632400513,Q2,parascore,0.9834
391,He is playing soccer with his friends.,Ele está driblando a vida com a turma.,gemma3,prompt4,0.4213,0.5389489531517029,0.4588892459869385,0.26601535081863403,Q2,parascore,0.9246
394,They are visiting the zoo.,"Eles estão visitando o zoológico.
",gemini,prompt2,1.0098,1.0,0.9740951657295228,1.0554025173187256,Q2,dataset_final,
394,They are visiting the zoo.,"Estão no zoológico da vida.
",gemini,prompt4,0.7406,0.9112730026245117,0.6308785080909729,0.6796084642410278,Q2,parascore,0.9234
394,They are visiting the zoo.,"Eles estão passeando pelo reino selvagem.
",gemma3,prompt4,0.5964,0.7496495246887207,0.5039854645729065,0.5355626940727234,Q2,parascore,0.9311
397,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,gpt,prompt2,1.0183,1.0,0.9523675441741944,1.1025454998016355,Q1,dataset_final,
397,I went to the store to buy some bread.,Fui à padaria comprar pão.,gpt,prompt4,0.9126,0.9878624677658081,0.896441638469696,0.8533980250358582,Q1,parascore,0.9563
397,I went to the store to buy some bread.,"Fui à loja comprar pão.
",gemini,prompt2,1.0076,0.9999369382858276,0.9487327933311462,1.0741733312606812,Q1,parascore,0.9798
397,I went to the store to buy some bread.,"Fui à padaria atrás do pão da vida.
",gemini,prompt4,0.7694,0.8875608444213867,0.6769154667854309,0.7436199188232422,Q1,parascore,0.9095
397,I went to the store to buy some bread.,"Eu fui à loja comprar pão.
",gemma3,prompt2,1.0133,1.0,0.9520251154899597,1.0879930257797241,Q1,parascore,0.9758
401,She is sending a letter to her friend.,Ela está enviando uma carta para a amiga dela.,gpt,prompt2,1.0156,1.0,0.9706076979637146,1.076075553894043,Q1,parascore,0.9613
401,She is sending a letter to her friend.,"Ela está lançando uma carta para a amiga.
",gemini,prompt4,0.765,0.9181696176528931,0.8032480478286743,0.5735200643539429,Q1,parascore,0.9592
401,She is sending a letter to her friend.,Ela está tecendo palavras para sua amiga.,gemma3,prompt4,0.6194,0.8186419606208801,0.5546658635139465,0.4849702715873718,Q1,parascore,0.947
401,She is sending a letter to her friend.,Ela está enviando uma carta para sua amiga.,gemmaX,sem_prompt,1.019,1.0,0.9707185626029968,1.086145043373108,Q1,dataset_final,
402,He is checking his email.,Ele está conferindo suas mensagens.,gpt,prompt4,0.9197,1.0,0.9175487160682678,0.8415576219558716,Q2,parascore,0.9681
402,He is checking his email.,"Ele está checando seus e-mails.
",gemini,prompt2,0.9999,1.0,0.9697224497795105,1.0298326015472412,Q2,parascore,0.9461
402,He is checking his email.,"Ele está pescando seus e-mails.
",gemini,prompt4,0.6693,0.9479787349700928,0.6382395029067993,0.4216848611831665,Q2,parascore,0.9557
402,He is checking his email.,Ele está verificando seu e-mail.,gemma3,prompt2,1.0089,1.0,0.9816250205039978,1.045140504837036,Q2,dataset_final,
402,He is checking his email.,Ele está espiando a caixa de entrada.,gemma3,prompt4,0.3195,0.5014077425003052,0.4262087941169739,0.030880670994520187,Q2,parascore,0.91
402,He is checking his email.,Ele está checando seu e-mail.,gemmaX,sem_prompt,1.0019,1.0,0.9598104357719421,1.0460033416748047,Q2,parascore,0.9449
407,She is putting on her shoes.,Ela está colocando os sapatos.,gpt,prompt2,0.986,1.0,0.923325777053833,1.0348047018051147,Q1,parascore,0.945
407,She is putting on her shoes.,"Ela está calçando os sapatos.
",gemini,prompt2,1.0208,1.0,0.9755738377571106,1.0868951082229614,Q1,dataset_final,
407,She is putting on her shoes.,"Ela está calçando os sapatos da vida.
",gemini,prompt4,0.7202,0.9097191095352173,0.7216907143592834,0.5292904376983643,Q1,parascore,0.958
407,She is putting on her shoes.,Ela está calçando a vida.,gemma3,prompt4,0.4928,0.8132319450378418,0.45182371139526367,0.21329817175865173,Q1,parascore,0.9561
422,They are planning a trip to Europe.,Eles estão planejando uma viagem à Europa.,gpt,prompt4,0.9064,0.9802229404449463,0.9250767230987549,0.813792884349823,Q2,parascore,0.9601
422,They are planning a trip to Europe.,"Eles estão planejando uma viagem para a Europa.
",gemini,prompt2,1.0136,1.0,0.9789019227027892,1.061916708946228,Q2,dataset_final,
422,They are planning a trip to Europe.,"Estão com a Europa na mira.
",gemini,prompt4,0.7654,0.8966984152793884,0.6236159801483154,0.7758721113204956,Q2,parascore,0.9093
422,They are planning a trip to Europe.,Eles estão traçando rotas para o Velho Mundo.,gemma3,prompt4,0.2678,0.2543896734714508,0.38557130098342896,0.1634572148323059,Q2,parascore,0.9348
427,She cleaned the kitchen after dinner.,Ela arrumou a cozinha depois do jantar.,gpt,prompt4,0.9249,0.9907490015029907,0.9200979471206665,0.8639604449272156,Q2,parascore,0.9454
427,She cleaned the kitchen after dinner.,"Ela limpou a cozinha depois do jantar.
",gemini,prompt2,1.0169,1.0,0.976700246334076,1.0739939212799072,Q2,dataset_final,
427,She cleaned the kitchen after dinner.,"Ela passou a vassoura na cozinha depois do jantar.
",gemini,prompt4,0.8784,0.9726959466934204,0.8336039185523987,0.8288305997848511,Q2,parascore,0.9502
430,I am learning how to cook.,Estou aprendendo a arte da culinária.,gpt,prompt4,0.9251,1.0,0.906444251537323,0.8688430190086365,Q1,parascore,0.9438
430,I am learning how to cook.,"Estou aprendendo a cozinhar.
",gemini,prompt2,1.0221,1.0,0.9613847136497498,1.10493266582489,Q1,dataset_final,
430,I am learning how to cook.,"Estou botando a mão na massa.
",gemini,prompt4,0.6373,0.8102148175239563,0.3854890763759613,0.7162483930587769,Q1,parascore,0.9096
430,I am learning how to cook.,"Estou desvendando os segredos da cozinha.
",gemma3,prompt4,0.6138,0.7555146813392639,0.4772666394710541,0.6087398529052734,Q1,parascore,0.9295
430,I am learning how to cook.,Estou a aprender a cozinhar.,gemmaX,sem_prompt,1.0035,1.0,0.9412844181060791,1.0692874193191528,Q1,parascore,0.9592
431,She is wearing a red dress.,"Ela está vestindo um vestido vermelho.
",gemini,prompt2,1.0185,1.0,0.9845478534698486,1.0709102153778076,Q1,dataset_final,
431,She is wearing a red dress.,"Ela está vestindo um vestido de fogo.
",gemini,prompt4,0.8334,0.933938205242157,0.7757603526115417,0.7905240654945374,Q1,parascore,0.948
431,She is wearing a red dress.,"Ela veste um rubi.
",gemma3,prompt4,0.427,0.6459929347038269,0.4691290557384491,0.16584202647209167,Q1,parascore,0.9054
431,She is wearing a red dress.,Ela está usando um vestido vermelho.,gemmaX,sem_prompt,1.0013,1.0,0.9674413800239563,1.0363365411758423,Q1,parascore,0.9471
435,He is drinking tea in the morning.,Ele está saboreando o chá pela manhã.,gpt,prompt4,0.8627,0.9631631374359131,0.8583058714866638,0.7666887044906616,Q2,parascore,0.949
435,He is drinking tea in the morning.,"Ele está tomando chá da rainha pela manhã.
",gemini,prompt4,0.6942,0.8583778142929077,0.6814927458763123,0.5426225662231445,Q2,parascore,0.9543
435,He is drinking tea in the morning.,Ele está bebendo chá de manhã.,gemma3,prompt2,1.0069,1.0,0.974439799785614,1.046378493309021,Q2,dataset_final,
437,They are playing basketball in the yard.,Eles estão fazendo uma partida de basquete no quintal.,gpt,prompt4,0.921,0.9897036552429199,0.9013553857803345,0.8720715045928955,Q2,parascore,0.9809
437,They are playing basketball in the yard.,"Eles estão duelando cestas no quintal.
",gemini,prompt4,0.6059,0.7079677581787109,0.4970792829990387,0.6125618815422058,Q2,parascore,0.9253
437,They are playing basketball in the yard.,"Eles estão se divertindo à toa no quintal.
",gemma3,prompt4,0.3093,0.3615700602531433,0.449359655380249,0.11696892231702805,Q2,parascore,0.9286
437,They are playing basketball in the yard.,Eles estão jogando basquete no quintal.,gemmaX,sem_prompt,1.0142,1.0,0.959044635295868,1.0834320783615112,Q2,dataset_final,
449,She cooked dinner for her family.,Ela cozinhou o jantar para sua família.,gpt,prompt2,1.0065,1.0,0.9796186089515686,1.0399385690689087,Q2,parascore,0.9668
449,She cooked dinner for her family.,Ela preparou o jantar para a família.,gpt,prompt4,0.9392,1.0,0.9426030516624451,0.875045657157898,Q2,parascore,0.9689
449,She cooked dinner for her family.,"Ela preparou o jantar para a família dela.
",gemini,prompt2,1.0019,1.0,0.9521523118019104,1.0534405708312988,Q2,parascore,0.9543
449,She cooked dinner for her family.,"Ela preparou um banquete para a família.
",gemini,prompt4,0.8358,0.891754150390625,0.8065566420555115,0.8092039227485657,Q2,parascore,0.9626
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,gemma3,prompt2,1.012,1.0,0.978672444820404,1.0573290586471558,Q2,dataset_final,
449,She cooked dinner for her family.,Ela preparou o ninho para sua família.,gemma3,prompt4,0.5485,0.5870059728622437,0.42931613326072693,0.6290576457977295,Q2,parascore,0.958
455,He played video games all evening.,Ele jogou videogames a noite toda.,gpt,prompt2,1.0064,1.0,0.9543918371200562,1.0647519826889038,Q1,parascore,0.9499
455,He played video games all evening.,Ele passou a noite mergulhado em videogames.,gpt,prompt4,0.8773,0.977959156036377,0.8511934280395508,0.8026283979415894,Q1,parascore,0.9319
455,He played video games all evening.,"Ele jogou videogame a noite toda.
",gemini,prompt2,1.0203,1.0,0.9673332571983337,1.0934796333312988,Q1,parascore,0.9471
455,He played video games all evening.,"Ele devorou videogames a noite inteira.
",gemini,prompt4,0.7986,0.8461464643478394,0.8365671038627625,0.7131720781326294,Q1,parascore,0.9184
455,He played video games all evening.,"Ele se perdeu no labirinto digital da noite toda.
",gemma3,prompt4,0.7245,0.8637704253196716,0.6048946976661682,0.7049819231033325,Q1,parascore,0.9239
455,He played video games all evening.,Ele jogou video games a noite toda.,gemmaX,sem_prompt,1.0211,1.0,0.968010187149048,1.0952616930007937,Q1,dataset_final,
464,They are visiting their friends in the city.,Eles estão visitando os amigos na cidade.,gpt,prompt4,0.9148,1.0,0.9239252209663391,0.8204315900802612,Q2,parascore,0.9521
464,They are visiting their friends in the city.,"Eles estão visitando seus amigos na cidade.
",gemini,prompt2,1.007,0.991200029850006,0.9773280024528505,1.0524252653121948,Q2,dataset_final,
464,They are visiting their friends in the city.,"Eles estão de passagem pela cidade dos amigos.
",gemini,prompt4,0.6399,0.7880440950393677,0.4385567903518677,0.6931965351104736,Q2,parascore,0.959
464,They are visiting their friends in the city.,Eles estão cortando uma escapada com os amigos na metrópole.,gemma3,prompt4,0.6566,0.7938276529312134,0.5530174374580383,0.6229435801506042,Q2,parascore,0.9117
464,They are visiting their friends in the city.,Estão a visitar os amigos na cidade.,gemmaX,sem_prompt,0.951,1.0,0.9332085251808167,0.9197002649307251,Q2,parascore,0.9318
472,They have three children.,Eles têm três filhos.,gpt,prompt2,1.0277,1.0,0.9865394830703736,1.096514344215393,Q1,dataset_final,
472,They have three children.,"Eles têm três rebentos.
",gemini,prompt4,0.6229,0.8468303084373474,0.5038972496986389,0.5181066393852234,Q1,parascore,0.9133
472,They have three children.,Eles construíram um lar para três vidas.,gemma3,prompt4,0.728,0.9001595377922058,0.45304831862449646,0.8307619094848633,Q1,parascore,0.9024
472,They have three children.,Têm três filhos.,gemmaX,sem_prompt,0.9985,1.0,0.9856025576591492,1.0098237991333008,Q1,parascore,0.9492
476,They went hiking in the mountains.,Eles foram fazer trilha nas montanhas.,gpt,prompt2,1.0084,1.0,0.9755762815475464,1.0496959686279297,Q2,dataset_final,
476,They went hiking in the mountains.,Eles foram explorar as montanhas.,gpt,prompt4,0.6851,0.8441731929779053,0.7299816608428955,0.48125943541526794,Q2,parascore,0.9787
476,They went hiking in the mountains.,"Eles fizeram trilha nas montanhas.
",gemini,prompt2,0.9804,1.0,0.9331855177879333,1.0079467296600342,Q2,parascore,0.9868
476,They went hiking in the mountains.,Eles se aventuraram pelos picos.,gemma3,prompt4,0.7094,0.935150146484375,0.6109871864318848,0.5819929838180542,Q2,parascore,0.9143
476,They went hiking in the mountains.,Eles foram fazer caminhadas nas montanhas.,gemmaX,sem_prompt,1.0053,1.0,0.9762237668037415,1.0397655963897705,Q2,parascore,0.9593
487,The train arrived at the station on time.,O trem chegou à estação pontualmente.,gpt,prompt4,0.6885,0.8129807710647583,0.7393553853034973,0.5131669044494629,Q1,parascore,0.9457
487,The train arrived at the station on time.,"O trem chegou à estação na hora certa.
",gemini,prompt2,1.023,1.0,0.9779856204986572,1.09114408493042,Q1,dataset_final,
487,The train arrived at the station on time.,"O trem chegou à estação na hora marcada.
",gemini,prompt4,0.8979,0.9655117988586426,0.8976297378540039,0.8305367827415466,Q1,parascore,0.9597
487,The train arrived at the station on time.,O trem chegou à estação no horário.,gemma3,prompt2,1.0219,1.0,0.9799529910087585,1.0858020782470703,Q1,parascore,0.9639
487,The train arrived at the station on time.,O trem chegou à estação no ponto marcado.,gemma3,prompt4,0.5069,0.6591603755950928,0.6109596490859985,0.2506130337715149,Q1,parascore,0.9613
487,The train arrived at the station on time.,O comboio chegou à estação no horário.,gemmaX,sem_prompt,1.0201,1.0,0.9791955351829529,1.0810552835464478,Q1,parascore,0.9595
491,The dog is playing outside.,O cachorro está brincando do lado de fora.,gpt,prompt2,1.0148,1.0,0.9784600138664246,1.0659860372543335,Q1,parascore,0.9444
491,The dog is playing outside.,"O cão brinca ao relento.
",gemini,prompt4,0.6838,0.9009065628051758,0.7844060063362122,0.36602699756622314,Q1,parascore,0.9088
491,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,1.0267,1.0,0.9758135676383972,1.1043001413345337,Q1,dataset_final,
491,The dog is playing outside.,O cão está brincando lá fora.,gemmaX,sem_prompt,1.0181,1.0,0.9761704802513123,1.077987551689148,Q1,parascore,0.9412
499,They are having a discussion in the classroom.,Eles estão tendo uma discussão na sala de aula.,gpt,prompt2,1.0137,1.0,0.9785884022712708,1.062653660774231,Q2,dataset_final,
499,They are having a discussion in the classroom.,Eles estão trocando ideias na sala de aula.,gpt,prompt4,0.8896,1.0,0.8464217782020569,0.8224351406097412,Q2,parascore,0.9708
